Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities, LowerBoundCosts
net1, net1-10-10, 1, 1000, 872, 128, 0, 0, -1, -1, -1, 34.0
net1, net1-10-10, 2, 128, 29, 99, 0, 0, 68, 2, 132, 34.0
net1, net1-10-10, 3, 99, 0, 99, 0, 0, 63, 6, 125, 34.0
net1, net1-10-10, 4, 99, 0, 99, 0, 0, 62, 2, 122, 34.0
net1, net1-10-10, 5, 99, 1, 98, 0, 0, 54, 11, 105, 62.0
net1, net1-10-10, 6, 98, 2, 96, 0, 0, 47, 12, 91, 166.0
net1, net1-10-10, 7, 96, 5, 91, 0, 0, 40, 10, 80, 730.0
net1, net1-10-10, 8, 91, 3, 88, 0, 0, 38, 2, 74, 914.0
net1, net1-10-10, 9, 88, 22, 66, 0, 0, 27, 11, 54, 2438.0
net1, net1-10-10, 10, 66, 7, 59, 0, 0, 25, 2, 52, 3262.0
net1, net1-10-10, 11, 59, 6, 53, 0, 0, 24, 1, 51, 3886.0
net1, net1-10-10, 12, 53, 38, 15, 0, 0, 11, 17, 23, 7506.0
net1, net1-10-10, 13, 15, 7, 8, 0, 0, 9, 3, 20, 8296.0
net1, net1-10-10, 14, 8, 4, 4, 0, 0, 8, 2, 16, 8676.0
net1, net1-10-10, 15, 4, 4, 0, 0, 0, 3, 6, 6, 9046.0

net1, net1-10-60, 1, 1000, 876, 124, 0, 0, -1, -1, -1, 0.0
net1, net1-10-60, 2, 124, 22, 102, 0, 0, 68, 11, 123, 0.0
net1, net1-10-60, 3, 102, 0, 102, 0, 0, 55, 5, 111, 0.0
net1, net1-10-60, 4, 102, 0, 102, 0, 0, 50, 5, 103, 0.0
net1, net1-10-60, 5, 102, 0, 102, 0, 0, 37, 14, 79, 0.0
net1, net1-10-60, 6, 102, 0, 102, 0, 0, 33, 6, 73, 0.0
net1, net1-10-60, 7, 102, 7, 95, 0, 0, 19, 14, 48, 2008.0
net1, net1-10-60, 8, 95, 20, 75, 0, 0, 15, 6, 36, 8010.0
net1, net1-10-60, 9, 75, 14, 61, 0, 0, 12, 6, 24, 14194.0
net1, net1-10-60, 10, 61, 9, 52, 0, 0, 10, 4, 20, 17462.0
net1, net1-10-60, 11, 52, 9, 43, 0, 0, 8, 2, 18, 21490.0

net1, net1-60-10, 1, 1000, 383, 617, 0, 0, -1, -1, -1, 240.0
net1, net1-60-10, 2, 617, 8, 609, 0, 0, 68, 6, 128, 346.0
net1, net1-60-10, 3, 609, 10, 599, 0, 0, 61, 7, 116, 566.0
net1, net1-60-10, 4, 599, 3, 596, 0, 0, 58, 3, 113, 768.0
net1, net1-60-10, 5, 596, 1, 595, 0, 0, 57, 2, 111, 796.0
net1, net1-60-10, 6, 595, 18, 577, 0, 0, 45, 14, 93, 1916.0
net1, net1-60-10, 7, 577, 8, 569, 0, 0, 43, 2, 90, 2478.0
net1, net1-60-10, 8, 569, 9, 560, 0, 0, 40, 4, 85, 3118.0
net1, net1-60-10, 9, 560, 57, 503, 0, 0, 31, 13, 60, 7892.0
net1, net1-60-10, 10, 503, 128, 375, 0, 0, 21, 12, 43, 19958.0
net1, net1-60-10, 11, 375, 37, 338, 0, 0, 20, 1, 42, 23208.0
net1, net1-60-10, 12, 338, 66, 272, 0, 0, 17, 3, 39, 29304.0
net1, net1-60-10, 13, 272, 14, 258, 0, 0, 16, 1, 38, 30618.0
net1, net1-60-10, 14, 258, 16, 242, 0, 0, 15, 2, 36, 32284.0
net1, net1-60-10, 15, 242, 20, 222, 0, 0, 14, 1, 35, 34286.0
net1, net1-60-10, 16, 222, 66, 156, 0, 0, 13, 1, 32, 41352.0
net1, net1-60-10, 17, 156, 68, 88, 0, 0, 10, 3, 23, 48282.0

net2, net2-10-10, 1, 1000, 873, 127, 0, 0, -1, -1, -1, 0.0
net2, net2-10-10, 2, 127, 19, 108, 0, 0, 76, 9, 136, 26.0
net2, net2-10-10, 3, 108, 3, 105, 0, 0, 63, 10, 119, 140.0
net2, net2-10-10, 4, 105, 0, 105, 0, 0, 62, 2, 117, 140.0
net2, net2-10-10, 5, 105, 3, 102, 0, 0, 49, 15, 91, 354.0
net2, net2-10-10, 6, 102, 2, 100, 0, 0, 45, 4, 79, 522.0
net2, net2-10-10, 7, 100, 10, 90, 0, 0, 36, 11, 63, 1230.0
net2, net2-10-10, 8, 90, 5, 85, 0, 0, 30, 6, 56, 1648.0
net2, net2-10-10, 9, 85, 3, 82, 0, 0, 29, 1, 55, 2000.0
net2, net2-10-10, 10, 82, 9, 73, 0, 0, 25, 5, 50, 3124.0
net2, net2-10-10, 11, 73, 6, 67, 0, 0, 21, 4, 46, 3584.0
net2, net2-10-10, 12, 67, 6, 61, 0, 0, 20, 1, 44, 4250.0
net2, net2-10-10, 13, 61, 54, 7, 0, 0, 4, 23, 12, 9516.0
net2, net2-10-10, 14, 7, 4, 3, 0, 0, 3, 1, 6, 10114.0
net2, net2-10-10, 15, 3, 2, 1, 0, 0, 2, 2, 3, 10244.0
net2, net2-10-10, 16, 1, 1, 0, 0, 0, 1, 2, 0, 10412.0

net2, net2-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1, 0.0
net2, net2-10-60, 2, 121, 16, 105, 0, 0, 76, 8, 137, 0.0
net2, net2-10-60, 3, 105, 0, 105, 0, 0, 63, 6, 122, 0.0
net2, net2-10-60, 4, 105, 0, 105, 0, 0, 58, 5, 114, 0.0
net2, net2-10-60, 5, 105, 0, 105, 0, 0, 40, 20, 80, 0.0
net2, net2-10-60, 6, 105, 0, 105, 0, 0, 32, 9, 64, 0.0
net2, net2-10-60, 7, 105, 0, 105, 0, 0, 30, 2, 62, 0.0
net2, net2-10-60, 8, 105, 0, 105, 0, 0, 27, 4, 57, 0.0
net2, net2-10-60, 9, 105, 0, 105, 0, 0, 25, 2, 55, 0.0
net2, net2-10-60, 10, 105, 2, 103, 0, 0, 20, 6, 46, 404.0
net2, net2-10-60, 11, 103, 16, 87, 0, 0, 13, 7, 27, 6310.0
net2, net2-10-60, 12, 87, 7, 80, 0, 0, 10, 4, 22, 9280.0
