Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities, LowerBoundCosts
net1, net1-10-10, 1, 1000, 875, 125, 0, 0, -1, -1, -1, 34.0
net1, net1-10-10, 2, 125, 21, 104, 0, 0, 68, 8, 126, 34.0
net1, net1-10-10, 3, 104, 19, 85, 0, 0, 22, 49, 43, 906.0
net1, net1-10-10, 4, 85, 2, 83, 0, 0, 21, 1, 40, 1022.0
net1, net1-10-10, 5, 83, 43, 40, 0, 0, 7, 16, 11, 5266.0
net1, net1-10-10, 6, 40, 5, 35, 0, 0, 6, 1, 10, 5852.0
net1, net1-10-10, 7, 35, 22, 13, 0, 0, 4, 2, 7, 7650.0
net1, net1-10-10, 8, 13, 13, 0, 0, 0, 3, 1, 6, 9046.0

net1, net1-10-60, 1, 1000, 876, 124, 0, 0, -1, -1, -1, 0.0
net1, net1-10-60, 2, 124, 22, 102, 0, 0, 68, 18, 116, 0.0
net1, net1-10-60, 3, 102, 1, 101, 0, 0, 9, 59, 13, 270.0
net1, net1-10-60, 4, 101, 1, 100, 0, 0, 8, 1, 11, 798.0
net1, net1-10-60, 5, 100, 19, 81, 0, 0, 3, 7, 3, 7610.0
net1, net1-10-60, 6, 81, 81, 0, 0, 0, 1, 2, 0, 39948.0

net1, net1-60-10, 1, 1000, 383, 617, 0, 0, -1, -1, -1, 240.0
net1, net1-60-10, 2, 617, 11, 606, 0, 0, 68, 7, 127, 320.0
net1, net1-60-10, 3, 606, 211, 395, 0, 0, 12, 69, 19, 18258.0
net1, net1-60-10, 4, 395, 108, 287, 0, 0, 6, 9, 6, 28990.0
net1, net1-60-10, 5, 287, 196, 91, 0, 0, 2, 4, 1, 48606.0
net1, net1-60-10, 6, 91, 91, 0, 0, 0, 1, 1, 0, 59080.0

net2, net2-10-10, 1, 1000, 873, 127, 0, 0, -1, -1, -1, 0.0
net2, net2-10-10, 2, 127, 21, 106, 0, 0, 76, 45, 100, 124.0
net2, net2-10-10, 3, 106, 2, 104, 0, 0, 27, 10, 61, 236.0
net2, net2-10-10, 4, 104, 62, 42, 0, 0, 6, 34, 10, 6206.0
net2, net2-10-10, 5, 42, 21, 21, 0, 0, 2, 5, 2, 8006.0
net2, net2-10-10, 6, 21, 21, 0, 0, 0, 1, 1, 0, 10412.0

net2, net2-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1, 0.0
net2, net2-10-60, 2, 121, 16, 105, 0, 0, 76, 39, 106, 0.0
net2, net2-10-60, 3, 105, 0, 105, 0, 0, 32, 9, 64, 0.0
net2, net2-10-60, 4, 105, 0, 105, 0, 0, 11, 32, 16, 0.0
net2, net2-10-60, 5, 105, 4, 101, 0, 0, 6, 5, 8, 1318.0
net2, net2-10-60, 6, 101, 5, 96, 0, 0, 4, 3, 4, 2766.0
net2, net2-10-60, 7, 96, 96, 0, 0, 0, 1, 3, 0, 42976.0

net2, net2-60-10, 1, 1000, 407, 593, 0, 0, -1, -1, -1, 70.0
net2, net2-60-10, 2, 593, 165, 428, 0, 0, 76, 79, 66, 11440.0
net2, net2-60-10, 3, 428, 169, 259, 0, 0, 8, 15, 12, 28900.0
net2, net2-60-10, 4, 259, 65, 194, 0, 0, 6, 2, 9, 36264.0
net2, net2-60-10, 5, 194, 166, 28, 0, 0, 2, 4, 2, 54054.0
net2, net2-60-10, 6, 28, 28, 0, 0, 0, 1, 1, 0, 57276.0

net3, net3-10-10, 1, 1000, 880, 120, 0, 0, -1, -1, -1, 0.0
net3, net3-10-10, 2, 120, 16, 104, 0, 0, 74, 22, 122, 32.0
net3, net3-10-10, 3, 104, 34, 70, 0, 0, 14, 47, 31, 2154.0
net3, net3-10-10, 4, 70, 16, 54, 0, 0, 8, 9, 17, 3572.0
net3, net3-10-10, 5, 54, 17, 37, 0, 0, 7, 1, 14, 5686.0
net3, net3-10-10, 6, 37, 15, 22, 0, 0, 6, 1, 12, 7274.0
net3, net3-10-10, 7, 22, 14, 8, 0, 0, 5, 1, 11, 8772.0
net3, net3-10-10, 8, 8, 8, 0, 0, 0, 4, 1, 9, 9868.0

net3, net3-10-60, 1, 1000, 886, 114, 0, 0, -1, -1, -1, 0.0
net3, net3-10-60, 2, 114, 28, 86, 0, 0, 74, 82, 62, 898.0
net3, net3-10-60, 3, 86, 26, 60, 0, 0, 3, 5, 4, 12366.0
net3, net3-10-60, 4, 60, 60, 0, 0, 0, 2, 1, 3, 42974.0

net3, net3-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1, 110.0
net3, net3-60-10, 2, 590, 162, 428, 0, 0, 74, 76, 68, 10816.0
net3, net3-60-10, 3, 428, 144, 284, 0, 0, 8, 10, 10, 26370.0
net3, net3-60-10, 4, 284, 131, 153, 0, 0, 4, 4, 4, 40496.0
net3, net3-60-10, 5, 153, 31, 122, 0, 0, 3, 1, 3, 43988.0
net3, net3-60-10, 6, 122, 50, 72, 0, 0, 2, 1, 1, 49548.0
net3, net3-60-10, 7, 72, 72, 0, 0, 0, 1, 1, 0, 58018.0
