Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities, LowerBoundCosts
net1, net1-10-10, 1, 1000, 875, 125, 0, 0, -1, -1, -1, 34.0
net1, net1-10-10, 2, 39, 30, 9, 0, 86, 68, 49, 85, 202.0
net1, net1-10-10, 3, 20, 13, 7, 0, 75, 30, 20, 47, 1192.0
net1, net1-10-10, 4, 58, 58, 0, 0, 24, 17, 19, 21, 6184.0
net1, net1-10-10, 5, 23, 23, 0, 0, 1, 5, 13, 8, 8920.0
net1, net1-10-10, 6, 1, 1, 0, 0, 0, 4, 4, 6, 9046.0

net1, net1-10-60, 1, 1000, 876, 124, 0, 0, -1, -1, -1, 0.0
net1, net1-10-60, 2, 34, 28, 6, 0, 90, 68, 94, 40, 1996.0
net1, net1-10-60, 3, 78, 78, 0, 0, 18, 5, 20, 5, 33522.0
net1, net1-10-60, 4, 18, 18, 0, 0, 0, 2, 8, 1, 39948.0

net1, net1-60-10, 1, 1000, 383, 617, 0, 0, -1, -1, -1, 240.0
net1, net1-60-10, 2, 43, 31, 12, 0, 574, 68, 43, 91, 1346.0
net1, net1-60-10, 3, 109, 87, 22, 0, 477, 36, 26, 57, 7842.0
net1, net1-60-10, 4, 235, 226, 9, 0, 264, 18, 13, 27, 29352.0
net1, net1-60-10, 5, 162, 162, 0, 0, 111, 10, 16, 15, 46398.0
net1, net1-60-10, 6, 94, 94, 0, 0, 17, 4, 9, 4, 57088.0
net1, net1-60-10, 7, 17, 17, 0, 0, 0, 1, 8, 0, 59080.0

net2, net2-10-10, 1, 1000, 873, 127, 0, 0, -1, -1, -1, 0.0
net2, net2-10-10, 2, 32, 25, 7, 0, 95, 76, 53, 92, 456.0
net2, net2-10-10, 3, 34, 27, 7, 0, 68, 34, 35, 43, 2774.0
net2, net2-10-10, 4, 36, 35, 1, 0, 39, 17, 14, 20, 6054.0
net2, net2-10-10, 5, 30, 30, 0, 0, 10, 8, 13, 6, 9430.0
net2, net2-10-10, 6, 10, 10, 0, 0, 0, 2, 8, 1, 10412.0

net2, net2-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1, 0.0
net2, net2-10-60, 2, 28, 28, 0, 0, 93, 76, 102, 43, 5070.0
net2, net2-10-60, 3, 86, 86, 0, 0, 7, 3, 21, 8, 39332.0
net2, net2-10-60, 4, 7, 7, 0, 0, 0, 1, 9, 0, 42976.0

net2, net2-60-10, 1, 1000, 407, 593, 0, 0, -1, -1, -1, 70.0
net2, net2-60-10, 2, 37, 24, 13, 0, 556, 76, 50, 95, 888.0
net2, net2-60-10, 3, 151, 103, 48, 0, 418, 36, 38, 44, 8954.0
net2, net2-60-10, 4, 304, 303, 1, 0, 162, 13, 9, 15, 38970.0
net2, net2-60-10, 5, 117, 117, 0, 0, 46, 6, 10, 6, 51722.0
net2, net2-60-10, 6, 43, 43, 0, 0, 3, 2, 14, 1, 57022.0
net2, net2-60-10, 7, 3, 3, 0, 0, 0, 1, 1, 0, 57276.0

net3, net3-10-10, 1, 1000, 880, 120, 0, 0, -1, -1, -1, 0.0
net3, net3-10-10, 2, 34, 26, 8, 0, 86, 74, 44, 100, 340.0
net3, net3-10-10, 3, 24, 19, 5, 0, 70, 38, 25, 63, 1756.0
net3, net3-10-10, 4, 41, 39, 2, 0, 34, 19, 19, 26, 5534.0
net3, net3-10-10, 5, 27, 27, 0, 0, 9, 9, 15, 14, 8800.0
net3, net3-10-10, 6, 9, 9, 0, 0, 0, 4, 10, 8, 9868.0

net3, net3-10-60, 1, 1000, 886, 114, 0, 0, -1, -1, -1, 0.0
net3, net3-10-60, 2, 34, 33, 1, 0, 80, 74, 97, 47, 3248.0
net3, net3-10-60, 3, 57, 57, 0, 0, 24, 8, 24, 8, 29164.0
net3, net3-10-60, 4, 22, 22, 0, 0, 2, 2, 8, 3, 42320.0
net3, net3-10-60, 5, 2, 2, 0, 0, 0, 2, 1, 2, 42974.0

net3, net3-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1, 110.0
net3, net3-60-10, 2, 43, 29, 14, 0, 547, 74, 40, 104, 766.0
net3, net3-60-10, 3, 149, 131, 18, 0, 412, 41, 33, 58, 11300.0
net3, net3-60-10, 4, 158, 150, 8, 0, 272, 17, 20, 27, 25146.0
net3, net3-60-10, 5, 169, 169, 0, 0, 111, 8, 13, 12, 44380.0
net3, net3-60-10, 6, 111, 111, 0, 0, 0, 2, 17, 0, 58018.0
