Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities, LowerBoundCosts
net1, net1-10-10, 1, 1000, 875, 125, 0, 0, -1, -1, -1, 34.0
net1, net1-10-10, 2, 27, 26, 1, 0, 98, 68, 20, 114, 34.0
net1, net1-10-10, 3, 4, 1, 3, 0, 95, 52, 17, 92, 198.0
net1, net1-10-10, 4, 6, 4, 2, 0, 92, 39, 9, 78, 430.0
net1, net1-10-10, 5, 9, 4, 5, 0, 85, 32, 6, 64, 732.0
net1, net1-10-10, 6, 11, 8, 3, 0, 79, 28, 8, 55, 1214.0
net1, net1-10-10, 7, 17, 11, 6, 0, 65, 23, 9, 41, 1910.0
net1, net1-10-10, 8, 30, 24, 6, 0, 41, 18, 6, 29, 4014.0
net1, net1-10-10, 9, 12, 11, 1, 0, 35, 14, 4, 25, 4942.0
net1, net1-10-10, 10, 16, 16, 0, 0, 20, 12, 7, 19, 6572.0
net1, net1-10-10, 11, 13, 13, 0, 0, 7, 7, 7, 14, 8470.0
net1, net1-10-10, 12, 7, 7, 0, 0, 0, 5, 7, 8, 9046.0

net1, net1-10-60, 1, 1000, 876, 124, 0, 0, -1, -1, -1, 0.0
net1, net1-10-60, 2, 23, 22, 1, 0, 101, 68, 39, 95, 0.0
net1, net1-10-60, 3, 3, 0, 3, 0, 99, 34, 32, 47, 0.0
net1, net1-10-60, 4, 6, 4, 2, 0, 96, 18, 10, 34, 1144.0
net1, net1-10-60, 5, 20, 13, 7, 0, 78, 13, 11, 25, 5856.0
net1, net1-10-60, 6, 51, 48, 3, 0, 34, 7, 6, 12, 22790.0
net1, net1-10-60, 7, 19, 19, 0, 0, 18, 4, 12, 7, 31018.0
net1, net1-10-60, 8, 15, 15, 0, 0, 3, 3, 6, 2, 38694.0
net1, net1-10-60, 9, 3, 3, 0, 0, 0, 1, 4, 0, 39948.0

net1, net1-60-10, 1, 1000, 383, 617, 0, 0, -1, -1, -1, 240.0
net1, net1-60-10, 2, 14, 13, 1, 0, 603, 68, 4, 130, 354.0
net1, net1-60-10, 3, 7, 5, 2, 0, 597, 63, 15, 115, 658.0
net1, net1-60-10, 4, 11, 4, 7, 0, 588, 52, 14, 96, 916.0
net1, net1-60-10, 5, 51, 24, 27, 0, 544, 42, 8, 81, 2320.0
net1, net1-60-10, 6, 29, 21, 8, 0, 542, 34, 3, 74, 3734.0
net1, net1-60-10, 7, 26, 24, 2, 0, 524, 31, 4, 69, 5512.0
net1, net1-60-10, 8, 39, 36, 3, 0, 487, 27, 9, 62, 7958.0
net1, net1-60-10, 9, 57, 48, 9, 0, 433, 22, 10, 49, 12168.0
net1, net1-60-10, 10, 130, 126, 4, 0, 312, 16, 5, 34, 24884.0
net1, net1-60-10, 11, 73, 71, 2, 0, 243, 13, 5, 28, 32016.0
net1, net1-60-10, 12, 51, 50, 1, 0, 194, 11, 5, 22, 37718.0
net1, net1-60-10, 13, 59, 59, 0, 0, 136, 9, 5, 17, 44496.0
net1, net1-60-10, 14, 43, 43, 0, 0, 93, 7, 4, 13, 48606.0
net1, net1-60-10, 15, 53, 53, 0, 0, 40, 5, 6, 8, 54578.0
net1, net1-60-10, 16, 36, 36, 0, 0, 4, 3, 5, 3, 58770.0
net1, net1-60-10, 17, 4, 4, 0, 0, 0, 2, 5, 0, 59080.0

net2, net2-10-10, 1, 1000, 873, 127, 0, 0, -1, -1, -1, 0.0
net2, net2-10-10, 2, 19, 18, 1, 0, 108, 76, 11, 134, 0.0
net2, net2-10-10, 3, 4, 1, 3, 0, 105, 65, 21, 107, 32.0
net2, net2-10-10, 4, 5, 3, 2, 0, 103, 50, 5, 89, 170.0
net2, net2-10-10, 5, 4, 2, 2, 0, 101, 45, 8, 78, 256.0
net2, net2-10-10, 6, 8, 5, 3, 0, 95, 38, 8, 70, 564.0
net2, net2-10-10, 7, 11, 8, 3, 0, 87, 33, 12, 52, 1118.0
net2, net2-10-10, 8, 15, 12, 3, 0, 75, 25, 3, 45, 2232.0
net2, net2-10-10, 9, 20, 12, 8, 0, 58, 22, 8, 35, 3352.0
net2, net2-10-10, 10, 13, 13, 0, 0, 53, 17, 3, 28, 4466.0
net2, net2-10-10, 11, 12, 12, 0, 0, 41, 14, 6, 24, 5700.0
net2, net2-10-10, 12, 16, 12, 4, 0, 25, 11, 12, 15, 6768.0
net2, net2-10-10, 13, 17, 17, 0, 0, 12, 7, 7, 6, 8944.0
net2, net2-10-10, 14, 9, 9, 0, 0, 3, 3, 8, 1, 10062.0
net2, net2-10-10, 15, 3, 3, 0, 0, 0, 1, 3, 0, 10412.0

net2, net2-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1, 0.0
net2, net2-10-60, 2, 17, 16, 1, 0, 104, 76, 40, 105, 0.0
net2, net2-10-60, 3, 3, 0, 3, 0, 102, 41, 49, 40, 0.0
net2, net2-10-60, 4, 35, 14, 21, 0, 70, 8, 15, 9, 5136.0
net2, net2-10-60, 5, 46, 43, 3, 0, 45, 5, 3, 5, 22198.0
net2, net2-10-60, 6, 14, 14, 0, 0, 34, 3, 11, 3, 28766.0
net2, net2-10-60, 7, 17, 14, 3, 0, 17, 2, 2, 2, 35006.0
net2, net2-10-60, 8, 20, 20, 0, 0, 0, 2, 3, 0, 42976.0

net2, net2-60-10, 1, 1000, 407, 593, 0, 0, -1, -1, -1, 70.0
net2, net2-60-10, 2, 12, 12, 0, 0, 581, 76, 4, 141, 146.0
net2, net2-60-10, 3, 3, 2, 1, 0, 578, 72, 13, 127, 222.0
net2, net2-60-10, 4, 15, 10, 5, 0, 564, 61, 20, 99, 724.0
net2, net2-60-10, 5, 21, 13, 8, 0, 548, 46, 10, 78, 1450.0
net2, net2-60-10, 6, 31, 21, 10, 0, 525, 40, 7, 69, 2654.0
net2, net2-60-10, 7, 29, 17, 12, 0, 506, 34, 5, 65, 3788.0
net2, net2-60-10, 8, 15, 8, 7, 0, 503, 31, 4, 61, 4394.0
net2, net2-60-10, 9, 52, 42, 10, 0, 458, 28, 10, 51, 7276.0
net2, net2-60-10, 10, 73, 66, 7, 0, 395, 20, 8, 42, 12670.0
net2, net2-60-10, 11, 88, 88, 0, 0, 314, 16, 3, 32, 22400.0
net2, net2-60-10, 12, 46, 44, 2, 0, 268, 13, 9, 24, 27110.0
net2, net2-60-10, 13, 68, 66, 2, 0, 202, 8, 6, 16, 34226.0
net2, net2-60-10, 14, 70, 70, 0, 0, 134, 6, 4, 9, 42444.0
net2, net2-60-10, 15, 115, 115, 0, 0, 19, 3, 7, 2, 55432.0
net2, net2-60-10, 16, 19, 19, 0, 0, 0, 1, 4, 0, 57276.0

net3, net3-10-10, 1, 1000, 880, 120, 0, 0, -1, -1, -1, 0.0
net3, net3-10-10, 2, 20, 19, 1, 0, 100, 74, 9, 135, 0.0
net3, net3-10-10, 3, 4, 2, 2, 0, 97, 65, 19, 113, 64.0
net3, net3-10-10, 4, 7, 4, 3, 0, 92, 48, 9, 94, 326.0
net3, net3-10-10, 5, 14, 11, 3, 0, 81, 42, 17, 78, 1094.0
net3, net3-10-10, 6, 9, 6, 3, 0, 75, 32, 12, 64, 1456.0
net3, net3-10-10, 7, 13, 10, 3, 0, 65, 26, 4, 53, 2254.0
net3, net3-10-10, 8, 8, 7, 1, 0, 60, 24, 5, 48, 2848.0
net3, net3-10-10, 9, 11, 9, 2, 0, 50, 19, 9, 39, 3616.0
net3, net3-10-10, 10, 11, 11, 0, 0, 41, 14, 11, 29, 5078.0
net3, net3-10-10, 11, 20, 20, 0, 0, 21, 9, 7, 18, 7506.0
net3, net3-10-10, 12, 10, 10, 0, 0, 11, 5, 5, 10, 8490.0
net3, net3-10-10, 13, 4, 4, 0, 0, 7, 5, 4, 8, 8876.0
net3, net3-10-10, 14, 7, 7, 0, 0, 0, 4, 3, 6, 9868.0

net3, net3-10-60, 1, 1000, 886, 114, 0, 0, -1, -1, -1, 0.0
net3, net3-10-60, 2, 27, 26, 1, 0, 87, 74, 50, 94, 0.0
net3, net3-10-60, 3, 7, 1, 6, 0, 81, 33, 41, 40, 196.0
net3, net3-10-60, 4, 37, 37, 0, 0, 50, 10, 10, 13, 14476.0
net3, net3-10-60, 5, 24, 23, 1, 0, 26, 4, 14, 9, 26936.0
net3, net3-10-60, 6, 18, 18, 0, 0, 9, 4, 6, 5, 38660.0
net3, net3-10-60, 7, 7, 7, 0, 0, 2, 2, 5, 3, 42320.0
net3, net3-10-60, 8, 2, 2, 0, 0, 0, 2, 1, 2, 42974.0

net3, net3-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1, 110.0
net3, net3-60-10, 2, 13, 13, 0, 0, 577, 74, 4, 140, 146.0
net3, net3-60-10, 3, 11, 5, 6, 0, 566, 70, 24, 116, 356.0
net3, net3-60-10, 4, 35, 22, 13, 0, 537, 52, 12, 94, 1942.0
net3, net3-60-10, 5, 35, 28, 7, 0, 515, 44, 3, 87, 3988.0
net3, net3-60-10, 6, 8, 8, 0, 0, 514, 41, 3, 84, 4636.0
net3, net3-60-10, 7, 39, 33, 6, 0, 475, 38, 9, 70, 7644.0
net3, net3-60-10, 8, 59, 47, 12, 0, 422, 33, 11, 57, 11134.0
net3, net3-60-10, 9, 39, 28, 11, 0, 395, 23, 3, 39, 13824.0
net3, net3-60-10, 10, 52, 48, 4, 0, 354, 20, 3, 36, 18182.0
net3, net3-60-10, 11, 20, 19, 1, 0, 338, 18, 6, 32, 20430.0
net3, net3-60-10, 12, 83, 79, 4, 0, 256, 14, 12, 21, 28216.0
net3, net3-60-10, 13, 91, 87, 4, 0, 169, 9, 5, 16, 38666.0
net3, net3-60-10, 14, 46, 45, 1, 0, 127, 7, 7, 13, 43502.0
net3, net3-60-10, 15, 36, 32, 4, 0, 92, 6, 4, 10, 46962.0
net3, net3-60-10, 16, 31, 30, 1, 0, 65, 4, 4, 6, 50042.0
net3, net3-60-10, 17, 33, 33, 0, 0, 33, 3, 1, 5, 53724.0
net3, net3-60-10, 18, 17, 17, 0, 0, 16, 3, 4, 3, 55840.0
net3, net3-60-10, 19, 16, 16, 0, 0, 0, 1, 3, 0, 58018.0
