Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities, LowerBoundCosts
net1, net1-10-10, 1, 1000, 872, 128, 0, 0, -1, -1, -1, 34.0
net1, net1-10-10, 2, 29, 29, 0, 0, 99, 68, 2, 132, 34.0
net1, net1-10-10, 3, 98, 98, 0, 0, 1, 66, 110, 22, 9024.0
net1, net1-10-10, 4, 1, 1, 0, 0, 0, 3, 1, 6, 9046.0

net1, net1-10-60, 1, 1000, 876, 124, 0, 0, -1, -1, -1, 0.0
net1, net1-10-60, 2, 22, 22, 0, 0, 102, 68, 2, 132, 0.0
net1, net1-10-60, 3, 102, 102, 0, 0, 0, 66, 125, 7, 39948.0

net1, net1-60-10, 1, 1000, 383, 617, 0, 0, -1, -1, -1, 240.0
net1, net1-60-10, 2, 7, 7, 0, 0, 610, 68, 1, 133, 240.0
net1, net1-60-10, 3, 4, 4, 0, 0, 606, 67, 1, 132, 240.0
net1, net1-60-10, 4, 6, 4, 2, 0, 600, 66, 4, 128, 430.0
net1, net1-60-10, 5, 602, 602, 0, 0, 0, 61, 123, 5, 59080.0

net2, net2-10-10, 1, 1000, 873, 127, 0, 0, -1, -1, -1, 0.0
net2, net2-10-10, 2, 12, 12, 0, 0, 115, 76, 1, 144, 0.0
net2, net2-10-10, 3, 6, 6, 0, 0, 109, 75, 1, 143, 0.0
net2, net2-10-10, 4, 109, 109, 0, 0, 0, 74, 132, 11, 10412.0

net2, net2-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1, 0.0
net2, net2-10-60, 2, 121, 121, 0, 0, 0, 76, 140, 5, 42976.0

net2, net2-60-10, 1, 1000, 407, 593, 0, 0, -1, -1, -1, 70.0
net2, net2-60-10, 2, 6, 6, 0, 0, 587, 76, 1, 144, 70.0
net2, net2-60-10, 3, 4, 4, 0, 0, 583, 75, 1, 143, 70.0
net2, net2-60-10, 4, 2, 2, 0, 0, 581, 74, 2, 141, 146.0
net2, net2-60-10, 5, 581, 581, 0, 0, 0, 72, 138, 3, 57276.0

net3, net3-10-10, 1, 1000, 880, 120, 0, 0, -1, -1, -1, 0.0
net3, net3-10-10, 2, 10, 10, 0, 0, 110, 74, 1, 143, 0.0
net3, net3-10-10, 3, 9, 9, 0, 0, 101, 73, 1, 142, 0.0
net3, net3-10-10, 4, 101, 101, 0, 0, 0, 72, 121, 21, 9868.0

net3, net3-10-60, 1, 1000, 886, 114, 0, 0, -1, -1, -1, 0.0
net3, net3-10-60, 2, 26, 26, 0, 0, 88, 74, 2, 142, 0.0
net3, net3-10-60, 3, 88, 88, 0, 0, 0, 72, 134, 8, 42974.0

net3, net3-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1, 110.0
net3, net3-60-10, 2, 6, 6, 0, 0, 584, 74, 1, 143, 110.0
net3, net3-60-10, 3, 5, 5, 0, 0, 579, 73, 1, 142, 110.0
net3, net3-60-10, 4, 2, 2, 0, 0, 577, 72, 2, 140, 146.0
net3, net3-60-10, 5, 577, 577, 0, 0, 0, 70, 137, 3, 58018.0
