_id,LogPath,ModelPath,Log,Model,Monolithic,Decomposition,RecomposeStrategy,LogCreationStrategy,PreferBorderTransitions,AddConflictOnlyOnce,UseHideAndReduceAbstraction,GlobalDurationThreshold,LocalDurationThreshold,LogMoveCost,ModelMoveCost,RelativeIntervalThreshold,AbsoluteIntervalThreshold,MaxConflictThreshold,AlignmentPercentageThreshold,MaxIterationThreshold,CostIntervalLo,CostIntervalHi,FitnessLo,FitnessHi,Aligned,ToAlign,Rejected,TotalTraces,RecompositionStepsTaken,TotalTimeTaken,feasible,net_strategy_short,log_strategy_short,strategy_short,time_gain,fastest
1,../data/synthetic/2018-05-01_small/net1/net1-10-10.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-10,net1,False,sese_25,All conflicts,Group by conflicts,False,True,True,900000,80000,10,4,100,0,100,100,200,9.046,9.046,0.9886547771339704,0.9886547771339704,1000,0,0,1000,2,89.117,True,All,IC,All - IC,7.908000000000001,False
0,../data/synthetic/2018-05-01_small/net1/net1-10-10.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-10,net1,False,sese_25,Merge conflict graph,Group by conflicts,False,True,True,900000,80000,10,4,100,0,100,100,200,9.046,9.046,0.9886547771,0.9886547771,1000,0,0,1000,15,123.193,True,MCG,IC,MCG - IC,7.908000000000001,False
1,../data/synthetic/2018-05-01_small/net1/net1-10-10.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-10,net1,True,,Monolithic,Monolithic,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.046000000000014,9.046000000000014,,,1000,-1,-1,1000,-1,161.68,True,Monolithic,Monolithic,Monolithic,7.908000000000001,False
1,../data/synthetic/2018-05-01_small/net1/net1-10-10.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-10,net1,False,sese_25,Most frequent conflicts,Group by conflicts,False,True,True,900000,80000,10,4,100,0,100,100,200,9.046,9.046,0.9886547771339704,0.9886547771339704,1000,0,0,1000,40,304.683,True,MFC,IC,MFC - IC,7.908000000000001,False
1,../data/synthetic/2018-05-01_small/net1/net1-10-10.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-10,net1,False,sese_25,Random conflicts,Group by conflicts,False,True,True,900000,80000,10,4,100,0,100,100,200,9.046,9.046,0.9886547771339704,0.9886547771339704,1000,0,0,1000,7,64.319,True,Random,IC,Random - IC,7.908000000000001,False
0,../data/synthetic/2018-05-01_small/net1/net1-10-10.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-10,net1,False,sese_25,Score-based,Strict exclude by conflicts,False,True,True,900000,80000,10,4,100,0,100,100,200,9.046,9.046,0.9886547771339704,0.9886547771339704,1000,0,0,1000,5,74.932,True,Balanced,SIC,Balanced - SIC,7.908000000000001,False
0,../data/synthetic/2018-05-01_small/net1/net1-10-10.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-10,net1,False,sese_25,Top one most frequent conflicts set,Strict exclude by conflicts,False,True,True,900000,80000,10,4,100,0,100,100,200,9.046,9.046,0.9886547771339704,0.9886547771339704,1000,0,0,1000,32,121.884,True,MFCS-1,SIC,MFCS-1 - SIC,7.908000000000001,False
0,../data/synthetic/2018-05-01_small/net1/net1-10-10.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-10,net1,False,sese_25,Top ten most frequent conflicts set,Strict exclude by conflicts,False,True,True,900000,80000,10,4,100,0,100,100,200,9.046,9.046,0.9886547771339704,0.9886547771339704,1000,0,0,1000,6,56.411,True,MFCS-10,SIC,MFCS-10 - SIC,7.908000000000001,True
0,../data/synthetic/2018-05-01_small/net1/net1-10-10.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-10,net1,False,sese_25,Top three most frequent conflicts set,Strict exclude by conflicts,False,True,True,900000,80000,10,4,100,0,100,100,200,9.046,9.046,0.9886547771339704,0.9886547771339704,1000,0,0,1000,13,76.214,True,MFCS-3,SIC,MFCS-3 - SIC,7.908000000000001,False
2,../data/synthetic/2018-05-01_small/net1/net1-10-60.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-60,net1,False,sese_25,All conflicts,Group by conflicts,False,True,True,900000,80000,10,4,100,0,100,100,200,39.948,39.948,0.950253415189968,0.950253415189968,1000,0,0,1000,2,306.315,True,All,IC,All - IC,12.47999999999999,False
1,../data/synthetic/2018-05-01_small/net1/net1-10-60.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-60,net1,False,sese_25,Merge conflict graph,Group by conflicts,False,True,True,900000,80000,10,4,100,0,100,100,200,39.948,39.948,0.9502534152,0.9502534152,1000,0,0,1000,14,550.758,True,MCG,IC,MCG - IC,12.47999999999999,False
2,../data/synthetic/2018-05-01_small/net1/net1-10-60.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-60,net1,True,,Monolithic,Monolithic,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,39.947999999999986,39.947999999999986,,,1000,-1,-1,1000,-1,363.473,True,Monolithic,Monolithic,Monolithic,12.47999999999999,False
2,../data/synthetic/2018-05-01_small/net1/net1-10-60.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-60,net1,False,sese_25,Most frequent conflicts,Group by conflicts,False,True,True,900000,80000,10,4,100,0,100,100,200,37.978,79.002,0.9016201138189108,0.9527066236628768,903,97,0,1000,46,900.0,False,MFC,IC,MFC - IC,12.47999999999999,False
2,../data/synthetic/2018-05-01_small/net1/net1-10-60.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-60,net1,False,sese_25,Random conflicts,Group by conflicts,False,True,True,900000,80000,10,4,100,0,100,100,200,39.948,39.948,0.950253415189968,0.950253415189968,1000,0,0,1000,7,450.212,True,Random,IC,Random - IC,12.47999999999999,False
1,../data/synthetic/2018-05-01_small/net1/net1-10-60.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-60,net1,False,sese_25,Score-based,Strict exclude by conflicts,False,True,True,900000,80000,10,4,100,0,100,100,200,39.948,39.948,0.950253415189968,0.950253415189968,1000,0,0,1000,3,250.343,True,Balanced,SIC,Balanced - SIC,12.47999999999999,True
1,../data/synthetic/2018-05-01_small/net1/net1-10-60.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-60,net1,False,sese_25,Top one most frequent conflicts set,Strict exclude by conflicts,False,True,True,900000,80000,10,4,100,0,100,100,200,39.948,39.948,0.950253415189968,0.950253415189968,1000,0,0,1000,18,284.151,True,MFCS-1,SIC,MFCS-1 - SIC,12.47999999999999,False
1,../data/synthetic/2018-05-01_small/net1/net1-10-60.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-60,net1,False,sese_25,Top ten most frequent conflicts set,Strict exclude by conflicts,False,True,True,900000,80000,10,4,100,0,100,100,200,39.948,39.948,0.950253415189968,0.950253415189968,1000,0,0,1000,4,271.333,True,MFCS-10,SIC,MFCS-10 - SIC,12.47999999999999,False
1,../data/synthetic/2018-05-01_small/net1/net1-10-60.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-10-60,net1,False,sese_25,Top three most frequent conflicts set,Strict exclude by conflicts,False,True,True,900000,80000,10,4,100,0,100,100,200,39.948,39.948,0.950253415189968,0.950253415189968,1000,0,0,1000,8,262.823,True,MFCS-3,SIC,MFCS-3 - SIC,12.47999999999999,False
3,../data/synthetic/2018-05-01_small/net1/net1-60-10.xes.gz,../data/synthetic/2018-05-01_small/net1/net1.apnml,net1-60-10,net1,False,sese_25,All conflicts,Group by conflicts,False,True,True,900000,80000,10,4,100,0,100,100,200,59.08,59.08,0.9264488017429194,0.9264488017429194,1000,0,0,1000,2,432.008,True,All,IC,All - IC,6.206000000000017,False
