Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net1, net1-0-0, 1, 1000, 976, 24, 0, 0, -1, -1, -1
net1, net1-0-0, 2, 24, 24, 0, 0, 976, 68, 2, 132

net1, net1-10-10, 1, 1000, 872, 128, 0, 0, -1, -1, -1
net1, net1-10-10, 2, 128, 128, 0, 0, 872, 68, 113, 21

net1, net1-10-60, 1, 1000, 876, 124, 0, 0, -1, -1, -1
net1, net1-10-60, 2, 124, 124, 0, 0, 876, 68, 127, 7

net1, net1-60-10, 1, 1000, 383, 617, 0, 0, -1, -1, -1
net1, net1-60-10, 2, 617, 617, 0, 0, 383, 68, 129, 5

net1, net1-60-60, 1, 1000, 387, 613, 0, 0, -1, -1, -1
net1, net1-60-60, 2, 613, 238, 0, 375, 387, 68, 134, 0

net2, net2-0-0, 1, 1000, 983, 17, 0, 0, -1, -1, -1
net2, net2-0-0, 2, 17, 17, 0, 0, 983, 76, 2, 143

net2, net2-10-10, 1, 1000, 873, 127, 0, 0, -1, -1, -1
net2, net2-10-10, 2, 127, 127, 0, 0, 873, 76, 134, 11

net2, net2-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1
net2, net2-10-60, 2, 121, 121, 0, 0, 879, 76, 140, 5

net2, net2-60-10, 1, 1000, 407, 593, 0, 0, -1, -1, -1
net2, net2-60-10, 2, 593, 593, 0, 0, 407, 76, 142, 3

net2, net2-60-60, 1, 1000, 383, 617, 0, 0, -1, -1, -1
net2, net2-60-60, 2, 617, 211, 0, 406, 383, 76, 144, 1

net3, net3-0-0, 1, 1000, 969, 31, 0, 0, -1, -1, -1
net3, net3-0-0, 2, 31, 31, 0, 0, 969, 74, 2, 142

net3, net3-10-10, 1, 1000, 880, 120, 0, 0, -1, -1, -1
net3, net3-10-10, 2, 120, 120, 0, 0, 880, 74, 123, 21

net3, net3-10-60, 1, 1000, 886, 114, 0, 0, -1, -1, -1
net3, net3-10-60, 2, 114, 114, 0, 0, 886, 74, 137, 7

net3, net3-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1
net3, net3-60-10, 2, 590, 590, 0, 0, 410, 74, 141, 3

net3, net3-60-60, 1, 1000, 384, 616, 0, 0, -1, -1, -1
net3, net3-60-60, 2, 616, 221, 0, 395, 384, 74, 143, 1

net4, net4-0-0, 1, 1000, 982, 18, 0, 0, -1, -1, -1
net4, net4-0-0, 2, 18, 18, 0, 0, 982, 71, 2, 139

net4, net4-10-10, 1, 1000, 902, 98, 0, 0, -1, -1, -1
net4, net4-10-10, 2, 98, 98, 0, 0, 902, 71, 122, 19

net4, net4-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1
net4, net4-10-60, 2, 121, 121, 0, 0, 879, 71, 134, 7

net4, net4-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1
net4, net4-60-10, 2, 590, 590, 0, 0, 410, 71, 137, 4

net4, net4-60-60, 1, 1000, 412, 588, 0, 0, -1, -1, -1
net4, net4-60-60, 2, 588, 181, 0, 407, 412, 71, 141, 0

net5, net5-0-0, 1, 1000, 977, 23, 0, 0, -1, -1, -1
net5, net5-0-0, 2, 23, 23, 0, 0, 977, 71, 2, 136

net5, net5-10-10, 1, 1000, 885, 115, 0, 0, -1, -1, -1
net5, net5-10-10, 2, 115, 115, 0, 0, 885, 71, 121, 17

net5, net5-10-60, 1, 1000, 878, 122, 0, 0, -1, -1, -1
net5, net5-10-60, 2, 122, 122, 0, 0, 878, 71, 129, 9

net5, net5-60-10, 1, 1000, 409, 591, 0, 0, -1, -1, -1
net5, net5-60-10, 2, 591, 591, 0, 0, 409, 71, 134, 4

net5, net5-60-60, 1, 1000, 377, 623, 0, 0, -1, -1, -1
net5, net5-60-60, 2, 623, 166, 0, 457, 377, 71, 135, 3
