Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net1, net1-0-0, 1, 1000, 976, 24, 0, 0, -1, -1, -1
net1, net1-0-0, 2, 24, 24, 0, 0, 976, 68, 2, 132

net1, net1-10-10, 1, 1000, 872, 128, 0, 0, -1, -1, -1
net1, net1-10-10, 2, 128, 61, 67, 0, 872, 68, 63, 71
net1, net1-10-10, 3, 67, 60, 7, 0, 933, 4, 15, 8
net1, net1-10-10, 4, 7, 7, 0, 0, 993, 3, 2, 6

net1, net1-10-60, 1, 1000, 876, 124, 0, 0, -1, -1, -1
net1, net1-10-60, 2, 124, 22, 102, 0, 876, 68, 35, 99
net1, net1-10-60, 3, 102, 0, 102, 0, 898, 10, 34, 19
net1, net1-10-60, 4, 102, 86, 16, 0, 898, 2, 11, 2
net1, net1-10-60, 5, 16, 16, 0, 0, 984, 1, 1, 0

net1, net1-60-10, 1, 1000, 383, 617, 0, 0, -1, -1, -1
net1, net1-60-10, 2, 617, 46, 571, 0, 383, 68, 48, 86
net1, net1-60-10, 3, 571, 5, 566, 0, 429, 30, 1, 52
net1, net1-60-10, 4, 566, 243, 323, 0, 434, 8, 26, 10
net1, net1-60-10, 5, 323, 61, 262, 0, 677, 5, 3, 5
net1, net1-60-10, 6, 262, 100, 162, 0, 738, 3, 2, 2
net1, net1-60-10, 7, 162, 162, 0, 0, 838, 1, 2, 0

net1, net1-60-60, 1, 1000, 387, 613, 0, 0, -1, -1, -1
net1, net1-60-60, 2, 613, 19, 594, 0, 387, 68, 73, 61
net1, net1-60-60, 3, 594, 167, 77, 350, 406, 3, 14, 4

net2, net2-0-0, 1, 1000, 983, 17, 0, 0, -1, -1, -1
net2, net2-0-0, 2, 17, 17, 0, 0, 983, 76, 2, 143

net2, net2-10-10, 1, 1000, 873, 127, 0, 0, -1, -1, -1
net2, net2-10-10, 2, 127, 12, 115, 0, 873, 76, 10, 135
net2, net2-10-10, 3, 115, 43, 72, 0, 885, 10, 73, 18
net2, net2-10-10, 4, 72, 39, 33, 0, 928, 3, 9, 4
net2, net2-10-10, 5, 33, 17, 16, 0, 967, 2, 1, 2
net2, net2-10-10, 6, 16, 16, 0, 0, 984, 1, 2, 0

net2, net2-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1
net2, net2-10-60, 2, 121, 16, 105, 0, 879, 76, 65, 80
net2, net2-10-60, 3, 105, 0, 105, 0, 895, 21, 7, 28
net2, net2-10-60, 4, 105, 6, 99, 0, 895, 6, 16, 9
net2, net2-10-60, 5, 99, 4, 95, 0, 901, 5, 1, 7
net2, net2-10-60, 6, 95, 23, 72, 0, 905, 2, 5, 1
net2, net2-10-60, 7, 72, 72, 0, 0, 928, 1, 1, 0

net2, net2-60-10, 1, 1000, 407, 593, 0, 0, -1, -1, -1
net2, net2-60-10, 2, 593, 79, 514, 0, 407, 76, 69, 76
net2, net2-60-10, 3, 514, 138, 376, 0, 486, 9, 15, 18
net2, net2-60-10, 4, 376, 46, 330, 0, 624, 8, 1, 14
net2, net2-60-10, 5, 330, 16, 314, 0, 670, 7, 2, 12
net2, net2-60-10, 6, 314, 314, 0, 0, 686, 1, 7, 0

net2, net2-60-60, 1, 1000, 383, 617, 0, 0, -1, -1, -1
net2, net2-60-60, 2, 617, 9, 608, 0, 383, 76, 47, 98
net2, net2-60-60, 3, 608, 3, 605, 0, 392, 11, 35, 17
net2, net2-60-60, 4, 605, 16, 589, 0, 395, 5, 7, 6
net2, net2-60-60, 5, 589, 5, 584, 0, 411, 4, 1, 4

net3, net3-0-0, 1, 1000, 969, 31, 0, 0, -1, -1, -1
net3, net3-0-0, 2, 31, 31, 0, 0, 969, 74, 1, 143

net3, net3-10-10, 1, 1000, 880, 120, 0, 0, -1, -1, -1
net3, net3-10-10, 2, 120, 19, 101, 0, 880, 74, 6, 138
net3, net3-10-10, 3, 101, 36, 65, 0, 899, 15, 71, 24
net3, net3-10-10, 4, 65, 15, 50, 0, 935, 10, 5, 19
net3, net3-10-10, 5, 50, 6, 44, 0, 950, 8, 3, 14
net3, net3-10-10, 6, 44, 23, 21, 0, 956, 5, 4, 10
net3, net3-10-10, 7, 21, 2, 19, 0, 979, 4, 1, 8
net3, net3-10-10, 8, 19, 19, 0, 0, 981, 3, 1, 6

net3, net3-10-60, 1, 1000, 886, 114, 0, 0, -1, -1, -1
net3, net3-10-60, 2, 114, 26, 88, 0, 886, 74, 78, 66
net3, net3-10-60, 3, 88, 3, 85, 0, 912, 10, 9, 16
net3, net3-10-60, 4, 85, 5, 80, 0, 915, 8, 2, 13
net3, net3-10-60, 5, 80, 5, 75, 0, 920, 5, 3, 8

net3, net3-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1
net3, net3-60-10, 2, 590, 85, 505, 0, 410, 74, 69, 75
net3, net3-60-10, 3, 505, 151, 354, 0, 495, 12, 13, 20
net3, net3-60-10, 4, 354, 226, 128, 0, 646, 4, 9, 6
net3, net3-60-10, 5, 128, 108, 20, 0, 872, 2, 3, 2
net3, net3-60-10, 6, 20, 20, 0, 0, 980, 1, 1, 0

net3, net3-60-60, 1, 1000, 384, 616, 0, 0, -1, -1, -1
net3, net3-60-60, 2, 616, 26, 590, 0, 384, 74, 95, 49
net3, net3-60-60, 3, 590, 159, 35, 396, 410, 2, 10, 3
net3, net3-60-60, 4, 35, 35, 0, 0, 965, 1, 2, 0

net4, net4-0-0, 1, 1000, 983, 17, 0, 0, -1, -1, -1
net4, net4-0-0, 2, 17, 17, 0, 0, 983, 71, 1, 140

net4, net4-10-10, 1, 1000, 902, 98, 0, 0, -1, -1, -1
net4, net4-10-10, 2, 98, 17, 81, 0, 902, 71, 1, 140
net4, net4-10-10, 3, 81, 10, 71, 0, 919, 37, 38, 68
net4, net4-10-10, 4, 71, 17, 54, 0, 929, 17, 23, 35
net4, net4-10-10, 5, 54, 5, 49, 0, 946, 13, 4, 28
net4, net4-10-10, 6, 49, 34, 15, 0, 951, 4, 12, 6
net4, net4-10-10, 7, 15, 14, 1, 0, 985, 2, 2, 3
net4, net4-10-10, 8, 1, 1, 0, 0, 999, 1, 1, 0

net4, net4-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1
net4, net4-10-60, 2, 121, 24, 97, 0, 879, 71, 31, 110
net4, net4-10-60, 3, 97, 0, 97, 0, 903, 43, 1, 86
net4, net4-10-60, 4, 97, 0, 97, 0, 903, 21, 26, 34
net4, net4-10-60, 5, 97, 1, 96, 0, 903, 8, 16, 11
net4, net4-10-60, 6, 96, 8, 88, 0, 904, 3, 5, 4
net4, net4-10-60, 7, 88, 11, 77, 0, 912, 2, 1, 2
net4, net4-10-60, 8, 77, 77, 0, 0, 923, 1, 1, 0

net4, net4-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1
net4, net4-60-10, 2, 590, 29, 561, 0, 410, 71, 40, 101
net4, net4-60-10, 3, 561, 82, 479, 0, 439, 17, 25, 28
net4, net4-60-10, 4, 479, 204, 275, 0, 521, 7, 11, 11
net4, net4-60-10, 5, 275, 55, 220, 0, 725, 5, 3, 7
net4, net4-60-10, 6, 220, 116, 104, 0, 780, 3, 2, 4
net4, net4-60-10, 7, 104, 104, 0, 0, 896, 1, 2, 0

net4, net4-60-60, 1, 1000, 412, 588, 0, 0, -1, -1, -1
net4, net4-60-60, 2, 588, 10, 578, 0, 412, 71, 40, 101
net4, net4-60-60, 3, 578, 3, 575, 0, 422, 10, 32, 16
net4, net4-60-60, 4, 575, 0, 0, 575, 425, 4, 6, 5

net5, net5-0-0, 1, 1000, 977, 23, 0, 0, -1, -1, -1
net5, net5-0-0, 2, 23, 23, 0, 0, 977, 71, 2, 136

net5, net5-10-10, 1, 1000, 885, 115, 0, 0, -1, -1, -1
net5, net5-10-10, 2, 115, 22, 93, 0, 885, 71, 18, 120
net5, net5-10-10, 3, 93, 21, 72, 0, 907, 14, 47, 23
