_id,LogPath,ModelPath,Log,Model,Monolithic,Decomposition,RecomposeStrategy,LogCreationStrategy,PreferBorderTransitions,AddConflictOnlyOnce,UseHideAndReduceAbstraction,GlobalDurationThreshold,LocalDurationThreshold,LogMoveCost,ModelMoveCost,RelativeIntervalThreshold,AbsoluteIntervalThreshold,MaxConflictThreshold,AlignmentPercentageThreshold,MaxIterationThreshold,CostIntervalLo,CostIntervalHi,FitnessLo,FitnessHi,Aligned,ToAlign,Rejected,TotalTraces,RecompositionStepsTaken,TotalTimeTaken
0, ../data/synthetic/2018-05-01_small/net1/net1-0-0.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-0-0, net1, false, sese_25, Random conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 0.0, 0.0, 1.0, 1.0, 1000, 0, 0, 1000, 2, 21888
1, ../data/synthetic/2018-05-01_small/net1/net1-10-10.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-10-10, net1, false, sese_25, Random conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 9.046, 9.046, 0.9886547771339704, 0.9886547771339704, 1000, 0, 0, 1000, 7, 64319
2, ../data/synthetic/2018-05-01_small/net1/net1-10-60.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-10-60, net1, false, sese_25, Random conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 39.948, 39.948, 0.950253415189968, 0.950253415189968, 1000, 0, 0, 1000, 7, 450212
3, ../data/synthetic/2018-05-01_small/net1/net1-60-10.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-60-10, net1, false, sese_25, Random conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 59.08, 59.08, 0.9264488017429194, 0.9264488017429194, 1000, 0, 0, 1000, 6, 565647
4, ../data/synthetic/2018-05-01_small/net1/net1-60-60.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-60-60, net1, false, sese_25, Random conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 314.081, 462.33, 0.41930014067524113, 0.6055051748392283, 461, 246, 293, 1000, 3, 1088831
5, ../data/synthetic/2018-05-01_small/net2/net2-0-0.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-0-0, net2, false, sese_25, Random conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 0.0, 0.0, 1.0, 1.0, 1000, 0, 0, 1000, 3, 31444
6, ../data/synthetic/2018-05-01_small/net2/net2-10-10.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-10-10, net2, false, sese_25, Random conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 10.412, 10.412, 0.987067123764098, 0.987067123764098, 1000, 0, 0, 1000, 7, 112079
7, ../data/synthetic/2018-05-01_small/net2/net2-10-60.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-10-60, net2, false, sese_25, Random conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 42.976, 42.976, 0.9466209586267715, 0.9466209586267715, 1000, 0, 0, 1000, 10, 578938
8, ../data/synthetic/2018-05-01_small/net2/net2-60-10.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-60-10, net2, false, sese_25, Random conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 57.276, 57.276, 0.9317980471540843, 0.9317980471540843, 1000, 0, 0, 1000, 7, 495590
9, ../data/synthetic/2018-05-01_small/net2/net2-60-60.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-60-60, net2, false, sese_25, Random conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 357.932, 504.164, 0.3946302922600322, 0.5702168535818064, 399, 37, 564, 1000, 4, 1090382
10, ../data/synthetic/2018-05-01_small/net3/net3-0-0.xes.gz, ../data/synthetic/2018-05-01_small/net3/net3.apnml, net3-0-0, net3, false, sese_25, Random conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 0.0, 0.0, 1.0, 1.0, 1000, 0, 0, 1000, 3, 37577
11, ../data/synthetic/2018-05-01_small/net3/net3-10-10.xes.gz, ../data/synthetic/2018-05-01_small/net3/net3.apnml, net3-10-10, net3, false, sese_25, Random conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 9.868, 9.868, 0.9878243488346268, 0.9878243488346268, 1000, 0, 0, 1000, 8, 99134
