Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net1, net1-0-0, 1, 1000, 976, 24, 0, 0, -1, -1, -1
net1, net1-0-0, 2, 24, 24, 0, 0, 976, 68, 2, 132

net1, net1-10-10, 1, 1000, 872, 128, 0, 0, -1, -1, -1
net1, net1-10-10, 2, 122, 52, 70, 0, 878, 68, 60, 74
net1, net1-10-10, 3, 51, 34, 17, 0, 949, 8, 16, 16
net1, net1-10-10, 4, 1, 1, 0, 0, 999, 8, 1, 16
net1, net1-10-10, 5, 34, 33, 1, 0, 966, 4, 8, 8
net1, net1-10-10, 6, 7, 7, 0, 0, 993, 4, 2, 8
net1, net1-10-10, 7, 1, 1, 0, 0, 999, 3, 1, 6

net1, net1-10-60, 1, 1000, 876, 124, 0, 0, -1, -1, -1
net1, net1-10-60, 2, 124, 22, 102, 0, 876, 68, 69, 65
net1, net1-10-60, 3, 100, 6, 94, 0, 900, 8, 9, 11
net1, net1-10-60, 4, 54, 6, 48, 0, 946, 5, 3, 6
net1, net1-10-60, 5, 71, 17, 54, 0, 929, 2, 4, 2
net1, net1-10-60, 6, 42, 42, 0, 0, 958, 1, 1, 0
net1, net1-10-60, 7, 31, 31, 0, 0, 969, 1, 1, 0

net1, net1-60-10, 1, 1000, 383, 617, 0, 0, -1, -1, -1
net1, net1-60-10, 2, 595, 127, 468, 0, 405, 68, 58, 76
net1, net1-60-10, 3, 413, 239, 174, 0, 587, 6, 25, 6
net1, net1-60-10, 4, 187, 141, 46, 0, 813, 2, 5, 1
net1, net1-60-10, 5, 92, 92, 0, 0, 908, 1, 4, 0
net1, net1-60-10, 6, 18, 18, 0, 0, 982, 1, 3, 0

net1, net1-60-60, 1, 1000, 387, 613, 0, 0, -1, -1, -1
net1, net1-60-60, 2, 603, 6, 597, 0, 397, 68, 72, 62
net1, net1-60-60, 3, 591, 68, 230, 293, 409, 3, 15, 3

net2, net2-0-0, 1, 1000, 983, 17, 0, 0, -1, -1, -1
net2, net2-0-0, 2, 7, 7, 0, 0, 993, 76, 1, 144
net2, net2-0-0, 3, 10, 10, 0, 0, 990, 74, 1, 143

net2, net2-10-10, 1, 1000, 873, 127, 0, 0, -1, -1, -1
net2, net2-10-10, 2, 123, 30, 93, 0, 877, 76, 55, 90
net2, net2-10-10, 3, 81, 28, 53, 0, 919, 12, 18, 22
net2, net2-10-10, 4, 51, 42, 9, 0, 949, 2, 15, 2
net2, net2-10-10, 5, 13, 13, 0, 0, 987, 1, 3, 0
net2, net2-10-10, 6, 5, 5, 0, 0, 995, 1, 2, 0
net2, net2-10-10, 7, 9, 9, 0, 0, 991, 1, 1, 0

net2, net2-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1
net2, net2-10-60, 2, 121, 16, 105, 0, 879, 76, 80, 65
net2, net2-10-60, 3, 74, 0, 74, 0, 926, 12, 6, 18
net2, net2-10-60, 4, 39, 0, 39, 0, 961, 10, 2, 14
net2, net2-10-60, 5, 57, 1, 56, 0, 943, 8, 6, 11
net2, net2-10-60, 6, 79, 0, 79, 0, 921, 5, 4, 5
net2, net2-10-60, 7, 87, 14, 73, 0, 913, 3, 3, 3
net2, net2-10-60, 8, 51, 17, 34, 0, 949, 2, 1, 2
net2, net2-10-60, 9, 31, 31, 0, 0, 969, 1, 1, 0
net2, net2-10-60, 10, 42, 42, 0, 0, 958, 1, 1, 0

net2, net2-60-10, 1, 1000, 407, 593, 0, 0, -1, -1, -1
net2, net2-60-10, 2, 586, 224, 362, 0, 414, 76, 91, 54
net2, net2-60-10, 3, 272, 215, 57, 0, 728, 3, 14, 2
net2, net2-60-10, 4, 34, 22, 12, 0, 966, 3, 3, 2
net2, net2-60-10, 5, 98, 57, 41, 0, 902, 2, 2, 1
net2, net2-60-10, 6, 74, 74, 0, 0, 926, 1, 2, 0
net2, net2-60-10, 7, 1, 1, 0, 0, 999, 1, 1, 0

net2, net2-60-60, 1, 1000, 383, 617, 0, 0, -1, -1, -1
net2, net2-60-60, 2, 617, 9, 608, 0, 383, 76, 89, 56
net2, net2-60-60, 3, 600, 7, 593, 0, 400, 7, 11, 12
net2, net2-60-60, 4, 564, 0, 0, 564, 436, 2, 7, 1

net3, net3-0-0, 1, 1000, 969, 31, 0, 0, -1, -1, -1
net3, net3-0-0, 2, 18, 18, 0, 0, 982, 74, 1, 143
net3, net3-0-0, 3, 13, 13, 0, 0, 987, 72, 1, 142

net3, net3-10-10, 1, 1000, 880, 120, 0, 0, -1, -1, -1
net3, net3-10-10, 2, 70, 0, 70, 0, 930, 74, 22, 122
net3, net3-10-10, 3, 113, 46, 67, 0, 887, 18, 49, 30
net3, net3-10-10, 4, 57, 32, 25, 0, 943, 7, 19, 11
net3, net3-10-10, 5, 1, 0, 1, 0, 999, 7, 1, 11
net3, net3-10-10, 6, 27, 21, 6, 0, 973, 4, 4, 8
net3, net3-10-10, 7, 13, 13, 0, 0, 987, 3, 1, 6
net3, net3-10-10, 8, 8, 8, 0, 0, 992, 3, 1, 6

net3, net3-10-60, 1, 1000, 886, 114, 0, 0, -1, -1, -1
net3, net3-10-60, 2, 88, 0, 88, 0, 912, 74, 75, 69
net3, net3-10-60, 3, 109, 26, 83, 0, 891, 10, 15, 15
net3, net3-10-60, 4, 4, 0, 4, 0, 996, 10, 2, 15
net3, net3-10-60, 5, 87, 32, 55, 0, 913, 3, 9, 4
net3, net3-10-60, 6, 56, 56, 0, 0, 944, 2, 1, 3

net3, net3-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1
net3, net3-60-10, 2, 433, 8, 425, 0, 567, 74, 20, 124
net3, net3-60-10, 3, 537, 156, 381, 0, 463, 17, 57, 27
net3, net3-60-10, 4, 114, 46, 68, 0, 886, 15, 6, 25
net3, net3-60-10, 5, 296, 267, 29, 0, 704, 3, 21, 4
net3, net3-60-10, 6, 59, 59, 0, 0, 941, 1, 7, 0
net3, net3-60-10, 7, 24, 24, 0, 0, 976, 1, 3, 0
net3, net3-60-10, 8, 30, 30, 0, 0, 970, 1, 1, 0

net3, net3-60-60, 1, 1000, 384, 616, 0, 0, -1, -1, -1
net3, net3-60-60, 2, 602, 0, 602, 0, 398, 74, 56, 88
net3, net3-60-60, 3, 603, 6, 597, 0, 397, 8, 30, 10
net3, net3-60-60, 4, 585, 105, 480, 0, 415, 3, 8, 3

net4, net4-0-0, 1, 1000, 983, 17, 0, 0, -1, -1, -1
net4, net4-0-0, 2, 17, 17, 0, 0, 983, 71, 2, 139

net4, net4-10-10, 1, 1000, 902, 98, 0, 0, -1, -1, -1
net4, net4-10-10, 2, 88, 38, 50, 0, 912, 71, 72, 69
net4, net4-10-10, 3, 40, 28, 12, 0, 960, 9, 7, 16
net4, net4-10-10, 4, 16, 12, 4, 0, 984, 3, 6, 3
net4, net4-10-10, 5, 17, 17, 0, 0, 983, 1, 3, 0
net4, net4-10-10, 6, 3, 3, 0, 0, 997, 1, 1, 0

net4, net4-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1
net4, net4-10-60, 2, 97, 0, 97, 0, 903, 71, 29, 112
net4, net4-10-60, 3, 121, 24, 97, 0, 879, 34, 10, 70
net4, net4-10-60, 4, 83, 0, 83, 0, 917, 28, 6, 59
net4, net4-10-60, 5, 97, 1, 96, 0, 903, 13, 23, 20
net4, net4-10-60, 6, 96, 7, 89, 0, 904, 4, 11, 7
net4, net4-10-60, 7, 87, 64, 23, 0, 913, 2, 3, 2
net4, net4-10-60, 8, 24, 24, 0, 0, 976, 1, 1, 0
net4, net4-10-60, 9, 1, 1, 0, 0, 999, 1, 1, 0

net4, net4-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1
net4, net4-60-10, 2, 549, 32, 517, 0, 451, 71, 32, 109
net4, net4-60-10, 3, 512, 158, 354, 0, 488, 12, 53, 18
net4, net4-60-10, 4, 328, 233, 95, 0, 672, 3, 16, 4
