_id,LogPath,ModelPath,Log,Model,Monolithic,Decomposition,RecomposeStrategy,LogCreationStrategy,PreferBorderTransitions,AddConflictOnlyOnce,UseHideAndReduceAbstraction,GlobalDurationThreshold,LocalDurationThreshold,LogMoveCost,ModelMoveCost,RelativeIntervalThreshold,AbsoluteIntervalThreshold,MaxConflictThreshold,AlignmentPercentageThreshold,MaxIterationThreshold,CostIntervalLo,CostIntervalHi,FitnessLo,FitnessHi,Aligned,ToAlign,Rejected,TotalTraces,RecompositionStepsTaken,TotalTimeTaken
0, ../data/synthetic/2018-05-01_small/net1/net1-0-0.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-0-0, net1, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 0.0, 0.0, 1.0, 1.0, 1000, 0, 0, 1000, 3, 44773
1, ../data/synthetic/2018-05-01_small/net1/net1-10-10.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-10-10, net1, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 9.046, 9.046, 0.9886547771339704, 0.9886547771339704, 1000, 0, 0, 1000, 40, 304683
2, ../data/synthetic/2018-05-01_small/net1/net1-10-60.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-10-60, net1, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 37.978, 79.002, 0.9016201138189108, 0.9527066236628768, 903, 97, 0, 1000, 46, 934874
3, ../data/synthetic/2018-05-01_small/net1/net1-60-10.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-60-10, net1, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 56.746, 292.646, 0.6356725801431684, 0.9293544973544974, 696, 304, 0, 1000, 47, 903321
4, ../data/synthetic/2018-05-01_small/net1/net1-60-60.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-60-60, net1, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 184.545, 481.416, 0.3953275723472669, 0.7682061394694534, 403, 597, 0, 1000, 21, 900124
5, ../data/synthetic/2018-05-01_small/net2/net2-0-0.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-0-0, net2, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 0.0, 0.0, 1.0, 1.0, 1000, 0, 0, 1000, 3, 34894
6, ../data/synthetic/2018-05-01_small/net2/net2-10-10.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-10-10, net2, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 10.412, 10.412, 0.987067123764098, 0.987067123764098, 1000, 0, 0, 1000, 48, 384079
7, ../data/synthetic/2018-05-01_small/net2/net2-10-60.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-10-60, net2, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 39.974, 84.99, 0.8944367850355852, 0.950349641663872, 895, 105, 0, 1000, 55, 909403
8, ../data/synthetic/2018-05-01_small/net2/net2-60-10.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-60-10, net2, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 55.421, 238.842, 0.7155965706120505, 0.9340069064062873, 763, 237, 0, 1000, 59, 935395
9, ../data/synthetic/2018-05-01_small/net2/net2-60-60.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-60-60, net2, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 184.442, 506.914, 0.3913282582070555, 0.778533176436685, 392, 608, 0, 1000, 20, 905279
10, ../data/synthetic/2018-05-01_small/net3/net3-0-0.xes.gz, ../data/synthetic/2018-05-01_small/net3/net3.apnml, net3-0-0, net3, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 0.0, 0.0, 1.0, 1.0, 1000, 0, 0, 1000, 2, 27237
11, ../data/synthetic/2018-05-01_small/net3/net3-10-10.xes.gz, ../data/synthetic/2018-05-01_small/net3/net3.apnml, net3-10-10, net3, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 9.868, 9.868, 0.9878243488346268, 0.9878243488346268, 1000, 0, 0, 1000, 47, 410444
12, ../data/synthetic/2018-05-01_small/net3/net3-10-60.xes.gz, ../data/synthetic/2018-05-01_small/net3/net3.apnml, net3-10-60, net3, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 39.792, 84.624, 0.8991394722414245, 0.9525732402088151, 915, 85, 0, 1000, 45, 917056
13, ../data/synthetic/2018-05-01_small/net3/net3-60-10.xes.gz, ../data/synthetic/2018-05-01_small/net3/net3.apnml, net3-60-10, net3, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 56.444, 245.954, 0.7034876852041616, 0.9319533689375399, 768, 232, 0, 1000, 54, 924664
14, ../data/synthetic/2018-05-01_small/net3/net3-60-60.xes.gz, ../data/synthetic/2018-05-01_small/net3/net3.apnml, net3-60-60, net3, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 186.036, 482.466, 0.4159148688893731, 0.7747802716641243, 398, 602, 0, 1000, 26, 919770
15, ../data/synthetic/2018-05-01_small/net4/net4-0-0.xes.gz, ../data/synthetic/2018-05-01_small/net4/net4.apnml, net4-0-0, net4, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 0.0, 0.0, 1.0, 1.0, 1000, 0, 0, 1000, 2, 29775
16, ../data/synthetic/2018-05-01_small/net4/net4-10-10.xes.gz, ../data/synthetic/2018-05-01_small/net4/net4.apnml, net4-10-10, net4, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 7.554, 7.554, 0.9909821290006805, 0.9909821290006805, 1000, 0, 0, 1000, 44, 349914
17, ../data/synthetic/2018-05-01_small/net4/net4-10-60.xes.gz, ../data/synthetic/2018-05-01_small/net4/net4.apnml, net4-10-60, net4, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 38.497, 77.0, 0.9081189442031407, 0.954063051882965, 911, 89, 0, 1000, 48, 949411
18, ../data/synthetic/2018-05-01_small/net4/net4-60-10.xes.gz, ../data/synthetic/2018-05-01_small/net4/net4.apnml, net4-60-10, net4, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 55.811, 302.878, 0.6379699023439834, 0.9332891072303702, 692, 308, 0, 1000, 50, 915016
19, ../data/synthetic/2018-05-01_small/net4/net4-60-60.xes.gz, ../data/synthetic/2018-05-01_small/net4/net4.apnml, net4-60-60, net4, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 187.453, 495.966, 0.4198820969892624, 0.7807413385734672, 422, 578, 0, 1000, 22, 947565
20, ../data/synthetic/2018-05-01_small/net5/net5-0-0.xes.gz, ../data/synthetic/2018-05-01_small/net5/net5.apnml, net5-0-0, net5, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 0.0, 0.0, 1.0, 1.0, 1000, 0, 0, 1000, 2, 28157
21, ../data/synthetic/2018-05-01_small/net5/net5-10-10.xes.gz, ../data/synthetic/2018-05-01_small/net5/net5.apnml, net5-10-10, net5, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 9.87, 9.87, 0.9884619431163275, 0.9884619431163275, 1000, 0, 0, 1000, 48, 509230
22, ../data/synthetic/2018-05-01_small/net5/net5-10-60.xes.gz, ../data/synthetic/2018-05-01_small/net5/net5.apnml, net5-10-60, net5, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 39.385, 78.148, 0.9078106383229718, 0.9535384397598179, 913, 87, 0, 1000, 52, 907783
23, ../data/synthetic/2018-05-01_small/net5/net5-60-10.xes.gz, ../data/synthetic/2018-05-01_small/net5/net5.apnml, net5-60-10, net5, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 55.391, 244.682, 0.7058969181210635, 0.9334210779364392, 756, 244, 0, 1000, 53, 917275
24, ../data/synthetic/2018-05-01_small/net5/net5-60-60.xes.gz, ../data/synthetic/2018-05-01_small/net5/net5.apnml, net5-60-60, net5, false, sese_25, Most frequent conflicts, Group by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 199.639, 517.708, 0.37621784444846074, 0.7594565937707091, 382, 618, 0, 1000, 25, 900039
