Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net1, net1-0-0, 1, 1000, 976, 24, 0, 0, -1, -1, -1
net1, net1-0-0, 2, 24, 22, 2, 0, 976, 68, 1, 133
net1, net1-0-0, 3, 2, 2, 0, 0, 998, 66, 1, 132

net1, net1-10-10, 1, 1000, 872, 128, 0, 0, -1, -1, -1
net1, net1-10-10, 2, 47, 29, 18, 0, 953, 68, 1, 133
net1, net1-10-10, 3, 32, 0, 32, 0, 968, 66, 1, 131
net1, net1-10-10, 4, 35, 1, 34, 0, 965, 63, 2, 127
net1, net1-10-10, 5, 17, 0, 17, 0, 983, 62, 1, 126
net1, net1-10-10, 6, 32, 0, 32, 0, 968, 60, 2, 120
net1, net1-10-10, 7, 36, 0, 36, 0, 964, 58, 2, 117
net1, net1-10-10, 8, 13, 0, 13, 0, 987, 57, 1, 116
net1, net1-10-10, 9, 27, 0, 27, 0, 973, 55, 2, 111
net1, net1-10-10, 10, 18, 0, 18, 0, 982, 54, 1, 109
net1, net1-10-10, 11, 13, 0, 13, 0, 987, 53, 1, 108
net1, net1-10-10, 12, 17, 1, 16, 0, 983, 52, 1, 107
net1, net1-10-10, 13, 13, 0, 13, 0, 987, 51, 1, 106
net1, net1-10-10, 14, 12, 0, 12, 0, 988, 50, 1, 105
net1, net1-10-10, 15, 9, 1, 8, 0, 991, 49, 1, 104
net1, net1-10-10, 16, 13, 1, 12, 0, 987, 48, 1, 103
net1, net1-10-10, 17, 39, 2, 37, 0, 961, 45, 3, 93
net1, net1-10-10, 18, 42, 1, 41, 0, 958, 40, 5, 87
net1, net1-10-10, 19, 12, 2, 10, 0, 988, 39, 1, 85
net1, net1-10-10, 20, 31, 5, 26, 0, 969, 36, 3, 81
net1, net1-10-10, 21, 10, 3, 7, 0, 990, 35, 1, 79
net1, net1-10-10, 22, 7, 1, 6, 0, 993, 34, 1, 77
net1, net1-10-10, 23, 12, 0, 12, 0, 988, 33, 1, 76
net1, net1-10-10, 24, 17, 5, 12, 0, 983, 31, 2, 74
net1, net1-10-10, 25, 9, 3, 6, 0, 991, 30, 1, 73
net1, net1-10-10, 26, 19, 7, 12, 0, 981, 27, 3, 66
net1, net1-10-10, 27, 14, 5, 9, 0, 986, 26, 2, 64
net1, net1-10-10, 28, 17, 5, 12, 0, 983, 23, 3, 59
net1, net1-10-10, 29, 8, 3, 5, 0, 992, 22, 1, 57
net1, net1-10-10, 30, 5, 1, 4, 0, 995, 21, 1, 56
net1, net1-10-10, 31, 6, 4, 2, 0, 994, 20, 1, 52
net1, net1-10-10, 32, 19, 9, 10, 0, 981, 16, 4, 45
net1, net1-10-10, 33, 10, 8, 2, 0, 990, 14, 2, 36
net1, net1-10-10, 34, 8, 7, 1, 0, 992, 12, 2, 30
net1, net1-10-10, 35, 8, 6, 2, 0, 992, 10, 3, 22
net1, net1-10-10, 36, 4, 4, 0, 0, 996, 9, 2, 19
net1, net1-10-10, 37, 4, 4, 0, 0, 996, 8, 2, 13
net1, net1-10-10, 38, 6, 6, 0, 0, 994, 7, 6, 12
net1, net1-10-10, 39, 1, 1, 0, 0, 999, 7, 1, 12
net1, net1-10-10, 40, 3, 3, 0, 0, 997, 3, 6, 6

net1, net1-10-60, 1, 1000, 876, 124, 0, 0, -1, -1, -1
net1, net1-10-60, 2, 67, 0, 67, 0, 933, 68, 1, 133
net1, net1-10-60, 3, 48, 0, 48, 0, 952, 65, 1, 132
net1, net1-10-60, 4, 60, 22, 38, 0, 940, 64, 1, 131
net1, net1-10-60, 5, 59, 0, 59, 0, 941, 63, 1, 128
net1, net1-10-60, 6, 51, 0, 51, 0, 949, 62, 1, 125
net1, net1-10-60, 7, 44, 0, 44, 0, 956, 61, 1, 124
net1, net1-10-60, 8, 40, 0, 40, 0, 960, 60, 1, 120
net1, net1-10-60, 9, 56, 0, 56, 0, 944, 59, 1, 119
net1, net1-10-60, 10, 56, 0, 56, 0, 944, 58, 1, 116
net1, net1-10-60, 11, 43, 0, 43, 0, 957, 57, 1, 115
net1, net1-10-60, 12, 43, 0, 43, 0, 957, 56, 1, 114
net1, net1-10-60, 13, 44, 0, 44, 0, 956, 55, 1, 113
net1, net1-10-60, 14, 54, 0, 54, 0, 946, 54, 1, 111
net1, net1-10-60, 15, 54, 0, 54, 0, 946, 53, 1, 109
net1, net1-10-60, 16, 62, 0, 62, 0, 938, 52, 1, 108
net1, net1-10-60, 17, 58, 0, 58, 0, 942, 51, 1, 107
net1, net1-10-60, 18, 51, 0, 51, 0, 949, 50, 1, 106
net1, net1-10-60, 19, 65, 0, 65, 0, 935, 49, 1, 105
net1, net1-10-60, 20, 62, 0, 62, 0, 938, 48, 1, 103
net1, net1-10-60, 21, 56, 0, 56, 0, 944, 47, 1, 101
net1, net1-10-60, 22, 63, 0, 63, 0, 937, 46, 1, 98
net1, net1-10-60, 23, 58, 0, 58, 0, 942, 44, 2, 94
net1, net1-10-60, 24, 46, 0, 46, 0, 954, 43, 1, 92
net1, net1-10-60, 25, 57, 0, 57, 0, 943, 42, 1, 91
net1, net1-10-60, 26, 40, 0, 40, 0, 960, 41, 1, 90
net1, net1-10-60, 27, 35, 0, 35, 0, 965, 40, 1, 86
