Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net1, net1-10-10, 1, 1000, 872, 128, 0, 0, -1, -1, -1
net1, net1-10-10, 2, 29, 29, 0, 0, 99, 68, 2, 132
net1, net1-10-10, 3, 2, 2, 0, 0, 97, 66, 7, 125
net1, net1-10-10, 4, 2, 0, 2, 0, 95, 60, 14, 109
net1, net1-10-10, 5, 2, 1, 1, 0, 95, 51, 3, 100
net1, net1-10-10, 6, 2, 1, 1, 0, 94, 47, 3, 96
net1, net1-10-10, 7, 3, 3, 0, 0, 92, 45, 8, 85
net1, net1-10-10, 8, 7, 5, 2, 0, 85, 39, 5, 73
net1, net1-10-10, 9, 3, 3, 0, 0, 84, 34, 2, 70
net1, net1-10-10, 10, 1, 1, 0, 0, 83, 32, 3, 68
net1, net1-10-10, 11, 8, 7, 1, 0, 75, 30, 9, 61
net1, net1-10-10, 12, 1, 1, 0, 0, 75, 26, 2, 57
net1, net1-10-10, 13, 4, 2, 2, 0, 71, 25, 1, 53
net1, net1-10-10, 14, 6, 6, 0, 0, 67, 24, 1, 51
net1, net1-10-10, 15, 2, 1, 1, 0, 65, 23, 6, 49
net1, net1-10-10, 16, 2, 1, 1, 0, 64, 22, 1, 44
net1, net1-10-10, 17, 7, 4, 3, 0, 58, 21, 1, 43
net1, net1-10-10, 18, 2, 2, 0, 0, 59, 21, 1, 42
net1, net1-10-10, 19, 5, 3, 2, 0, 54, 20, 2, 40
net1, net1-10-10, 20, 8, 8, 0, 0, 48, 18, 1, 37
net1, net1-10-10, 21, 5, 4, 1, 0, 43, 17, 1, 36
net1, net1-10-10, 22, 1, 0, 1, 0, 43, 16, 2, 34
net1, net1-10-10, 23, 3, 3, 0, 0, 41, 14, 1, 33
net1, net1-10-10, 24, 2, 1, 1, 0, 39, 13, 2, 30
net1, net1-10-10, 25, 7, 4, 3, 0, 33, 12, 5, 24
net1, net1-10-10, 26, 11, 11, 0, 0, 25, 10, 1, 20
net1, net1-10-10, 27, 5, 5, 0, 0, 20, 9, 1, 18
net1, net1-10-10, 28, 4, 4, 0, 0, 16, 8, 2, 17
net1, net1-10-10, 29, 10, 10, 0, 0, 6, 7, 3, 15
net1, net1-10-10, 30, 2, 2, 0, 0, 4, 7, 1, 14
net1, net1-10-10, 31, 3, 3, 0, 0, 1, 6, 2, 9
net1, net1-10-10, 32, 1, 1, 0, 0, 0, 4, 2, 6

net1, net1-10-60, 1, 1000, 876, 124, 0, 0, -1, -1, -1
net1, net1-10-60, 2, 22, 22, 0, 0, 102, 68, 2, 132
net1, net1-10-60, 3, 1, 0, 1, 0, 101, 66, 20, 112
net1, net1-10-60, 4, 1, 0, 1, 0, 101, 46, 17, 86
net1, net1-10-60, 5, 2, 0, 2, 0, 100, 33, 15, 66
net1, net1-10-60, 6, 1, 1, 0, 0, 101, 22, 3, 54
net1, net1-10-60, 7, 1, 0, 1, 0, 100, 19, 5, 51
net1, net1-10-60, 8, 2, 1, 1, 0, 99, 17, 6, 43
net1, net1-10-60, 9, 3, 1, 2, 0, 97, 14, 5, 34
net1, net1-10-60, 10, 2, 0, 2, 0, 97, 12, 3, 28
net1, net1-10-60, 11, 5, 5, 0, 0, 94, 11, 1, 27
net1, net1-10-60, 12, 22, 21, 1, 0, 72, 10, 6, 21
net1, net1-10-60, 13, 24, 23, 1, 0, 49, 7, 4, 15
net1, net1-10-60, 14, 20, 17, 3, 0, 30, 5, 2, 10
net1, net1-10-60, 15, 8, 8, 0, 0, 25, 4, 1, 7
net1, net1-10-60, 16, 23, 23, 0, 0, 2, 3, 4, 3
net1, net1-10-60, 17, 1, 1, 0, 0, 1, 2, 5, 2
net1, net1-10-60, 18, 1, 1, 0, 0, 0, 1, 2, 0

net1, net1-60-10, 1, 1000, 383, 617, 0, 0, -1, -1, -1
net1, net1-60-10, 2, 7, 7, 0, 0, 610, 68, 1, 133
net1, net1-60-10, 3, 4, 4, 0, 0, 606, 67, 1, 132
net1, net1-60-10, 4, 3, 2, 1, 0, 603, 66, 2, 130
net1, net1-60-10, 5, 3, 2, 1, 0, 601, 63, 2, 128
net1, net1-60-10, 6, 3, 1, 2, 0, 599, 61, 7, 121
net1, net1-60-10, 7, 2, 0, 2, 0, 599, 54, 5, 114
net1, net1-60-10, 8, 16, 9, 7, 0, 585, 50, 10, 98
net1, net1-60-10, 9, 12, 9, 3, 0, 580, 42, 1, 94
net1, net1-60-10, 10, 7, 1, 6, 0, 576, 41, 1, 93
net1, net1-60-10, 11, 8, 8, 0, 0, 574, 40, 1, 92
net1, net1-60-10, 12, 4, 4, 0, 0, 570, 39, 1, 91
net1, net1-60-10, 13, 10, 2, 8, 0, 560, 38, 8, 84
net1, net1-60-10, 14, 35, 24, 11, 0, 533, 33, 1, 76
net1, net1-60-10, 15, 3, 3, 0, 0, 541, 32, 1, 75
net1, net1-60-10, 16, 20, 18, 2, 0, 521, 31, 2, 73
net1, net1-60-10, 17, 17, 14, 3, 0, 506, 30, 1, 72
net1, net1-60-10, 18, 18, 18, 0, 0, 491, 29, 1, 68
net1, net1-60-10, 19, 6, 5, 1, 0, 485, 28, 2, 66
net1, net1-60-10, 20, 26, 21, 5, 0, 460, 27, 7, 61
net1, net1-60-10, 21, 36, 30, 6, 0, 429, 23, 1, 55
net1, net1-60-10, 22, 25, 24, 1, 0, 410, 22, 1, 54
net1, net1-60-10, 23, 16, 13, 3, 0, 395, 21, 1, 53
net1, net1-60-10, 24, 33, 32, 1, 0, 365, 20, 2, 48
net1, net1-60-10, 25, 28, 26, 2, 0, 338, 18, 2, 45
net1, net1-60-10, 26, 9, 6, 3, 0, 331, 18, 3, 42
net1, net1-60-10, 27, 33, 31, 2, 0, 301, 16, 2, 38
net1, net1-60-10, 28, 15, 15, 0, 0, 288, 14, 2, 33
net1, net1-60-10, 29, 90, 89, 1, 0, 198, 13, 7, 28
net1, net1-60-10, 30, 6, 6, 0, 0, 193, 12, 3, 27
net1, net1-60-10, 31, 4, 2, 2, 0, 189, 12, 4, 25
net1, net1-60-10, 32, 11, 9, 2, 0, 180, 10, 3, 22
net1, net1-60-10, 33, 17, 16, 1, 0, 165, 9, 1, 19
net1, net1-60-10, 34, 22, 20, 2, 0, 144, 8, 3, 13
net1, net1-60-10, 35, 18, 17, 1, 0, 128, 7, 1, 11
net1, net1-60-10, 36, 25, 25, 0, 0, 104, 6, 1, 8
net1, net1-60-10, 37, 10, 9, 1, 0, 94, 5, 4, 7
net1, net1-60-10, 38, 35, 35, 0, 0, 60, 4, 1, 6
net1, net1-60-10, 39, 45, 45, 0, 0, 15, 3, 2, 4
net1, net1-60-10, 40, 5, 5, 0, 0, 10, 2, 1, 2
net1, net1-60-10, 41, 10, 10, 0, 0, 0, 1, 1, 0

net1, net1-60-60, 1, 1000, 387, 613, 0, 0, -1, -1, -1
