Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net1, net1-10-10, 1, 1000, 875, 125, 0, 0, -1, -1, -1
net1, net1-10-10, 2, 14, 14, 0, 0, 111, 68, 1, 133
net1, net1-10-10, 3, 12, 12, 0, 0, 99, 67, 1, 132
net1, net1-10-10, 4, 98, 98, 0, 0, 1, 66, 110, 22
net1, net1-10-10, 5, 1, 1, 0, 0, 0, 3, 1, 6

net1, net1-10-60, 1, 1000, 876, 124, 0, 0, -1, -1, -1
net1, net1-10-60, 2, 22, 22, 0, 0, 102, 68, 2, 132
net1, net1-10-60, 3, 102, 102, 0, 0, 0, 66, 125, 7

net1, net1-60-10, 1, 1000, 383, 617, 0, 0, -1, -1, -1
net1, net1-60-10, 2, 7, 7, 0, 0, 610, 68, 1, 133
net1, net1-60-10, 3, 4, 4, 0, 0, 606, 67, 1, 132
net1, net1-60-10, 4, 6, 4, 2, 0, 600, 66, 4, 128
net1, net1-60-10, 5, 602, 602, 0, 0, 0, 61, 123, 5

net1, net1-60-60, 1, 1000, 387, 613, 0, 0, -1, -1, -1
net1, net1-60-60, 2, 16, 16, 0, 0, 597, 68, 2, 132
net1, net1-60-60, 3, 597, 253, 0, 344, 0, 66, 132, 0

net2, net2-10-10, 1, 1000, 873, 127, 0, 0, -1, -1, -1
net2, net2-10-10, 2, 12, 12, 0, 0, 115, 76, 1, 144
net2, net2-10-10, 3, 6, 6, 0, 0, 109, 75, 1, 143
net2, net2-10-10, 4, 109, 109, 0, 0, 0, 74, 132, 11

net2, net2-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1
net2, net2-10-60, 2, 121, 121, 0, 0, 0, 76, 140, 5

net2, net2-60-10, 1, 1000, 407, 593, 0, 0, -1, -1, -1
net2, net2-60-10, 2, 6, 6, 0, 0, 587, 76, 1, 144
net2, net2-60-10, 3, 4, 4, 0, 0, 583, 75, 1, 143
net2, net2-60-10, 4, 2, 2, 0, 0, 581, 74, 2, 141
net2, net2-60-10, 5, 581, 581, 0, 0, 0, 72, 138, 3

net2, net2-60-60, 1, 1000, 383, 617, 0, 0, -1, -1, -1
net2, net2-60-60, 2, 617, 232, 0, 385, 0, 76, 144, 1

net3, net3-10-10, 1, 1000, 880, 120, 0, 0, -1, -1, -1
net3, net3-10-10, 2, 10, 10, 0, 0, 110, 74, 1, 143
net3, net3-10-10, 3, 9, 9, 0, 0, 101, 73, 1, 142
net3, net3-10-10, 4, 101, 101, 0, 0, 0, 72, 121, 21

net3, net3-10-60, 1, 1000, 886, 114, 0, 0, -1, -1, -1
net3, net3-10-60, 2, 26, 26, 0, 0, 88, 74, 2, 142
net3, net3-10-60, 3, 88, 88, 0, 0, 0, 72, 134, 8

net3, net3-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1
net3, net3-60-10, 2, 6, 6, 0, 0, 584, 74, 1, 143
net3, net3-60-10, 3, 5, 5, 0, 0, 579, 73, 1, 142
net3, net3-60-10, 4, 2, 2, 0, 0, 577, 72, 2, 140
net3, net3-60-10, 5, 577, 577, 0, 0, 0, 70, 137, 3

net3, net3-60-60, 1, 1000, 384, 616, 0, 0, -1, -1, -1
net3, net3-60-60, 2, 14, 14, 0, 0, 602, 74, 2, 142
net3, net3-60-60, 3, 602, 235, 0, 367, 0, 72, 141, 1

net4, net4-10-10, 1, 1000, 902, 98, 0, 0, -1, -1, -1
net4, net4-10-10, 2, 9, 9, 0, 0, 89, 71, 1, 140
net4, net4-10-10, 3, 8, 8, 0, 0, 81, 70, 1, 139
net4, net4-10-10, 4, 81, 81, 0, 0, 0, 69, 120, 19

net4, net4-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1
net4, net4-10-60, 2, 24, 24, 0, 0, 97, 71, 2, 139
net4, net4-10-60, 3, 97, 97, 0, 0, 0, 69, 132, 7

net4, net4-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1
net4, net4-60-10, 2, 7, 7, 0, 0, 583, 71, 2, 139
net4, net4-60-10, 3, 2, 2, 0, 0, 581, 69, 2, 137
net4, net4-60-10, 4, 581, 581, 0, 0, 0, 66, 133, 4

net4, net4-60-60, 1, 1000, 412, 588, 0, 0, -1, -1, -1
net4, net4-60-60, 2, 10, 10, 0, 0, 578, 71, 2, 139
net4, net4-60-60, 3, 578, 191, 0, 387, 0, 69, 139, 0

net5, net5-10-10, 1, 1000, 885, 115, 0, 0, -1, -1, -1
net5, net5-10-10, 2, 13, 13, 0, 0, 102, 71, 1, 137
net5, net5-10-10, 3, 7, 7, 0, 0, 95, 70, 1, 136
net5, net5-10-10, 4, 95, 95, 0, 0, 0, 69, 119, 17

net5, net5-10-60, 1, 1000, 878, 122, 0, 0, -1, -1, -1
net5, net5-10-60, 2, 122, 122, 0, 0, 0, 71, 129, 9

net5, net5-60-10, 1, 1000, 409, 591, 0, 0, -1, -1, -1
net5, net5-60-10, 2, 3, 3, 0, 0, 588, 71, 2, 136
net5, net5-60-10, 3, 588, 588, 0, 0, 0, 69, 132, 4

net5, net5-60-60, 1, 1000, 377, 623, 0, 0, -1, -1, -1
net5, net5-60-60, 2, 623, 205, 0, 418, 0, 71, 136, 2
