_id,LogPath,ModelPath,Log,Model,Monolithic,Decomposition,RecomposeStrategy,LogCreationStrategy,PreferBorderTransitions,AddConflictOnlyOnce,UseHideAndReduceAbstraction,GlobalDurationThreshold,LocalDurationThreshold,LogMoveCost,ModelMoveCost,RelativeIntervalThreshold,AbsoluteIntervalThreshold,MaxConflictThreshold,AlignmentPercentageThreshold,MaxIterationThreshold,CostIntervalLo,CostIntervalHi,FitnessLo,FitnessHi,Aligned,ToAlign,Rejected,TotalTraces,RecompositionStepsTaken,TotalTimeTaken
0, ../data/synthetic/2018-05-01_small/net1/net1-10-10.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-10-10, net1, false, sese_25, Merge conflict graph, Group by conflicts, false, true, true,900000,80000,10,4,100,0,100,100,200,9.046,9.046,0.9886547771,0.9886547771,1000,0,0,1000,15,123193
1, ../data/synthetic/2018-05-01_small/net1/net1-10-60.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-10-60, net1, false, sese_25, Merge conflict graph, Group by conflicts, false, true, true,900000,80000,10,4,100,0,100,100,200,39.948,39.948,0.9502534152,0.9502534152,1000,0,0,1000,14,550758
2, ../data/synthetic/2018-05-01_small/net1/net1-60-10.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-60-10, net1, false, sese_25, Merge conflict graph, Group by conflicts, false, true, true,900000,80000,10,4,100,0,100,100,200,59.08,59.08,0.9264488017,0.9264488017,1000,0,0,1000,25,579540
3, ../data/synthetic/2018-05-01_small/net1/net1-60-60.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-60-60, net1, false, sese_25, Merge conflict graph, Group by conflicts, false, true, true,900000,80000,10,4,100,0,100,100,200,262.204,489.62,0.3850231109,0.6706641881,394,33,573,1000,8,1149379
4, ../data/synthetic/2018-05-01_small/net2/net2-10-10.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-10-10, net2, false, sese_25, Merge conflict graph, Group by conflicts, false, true, true,900000,80000,10,4,100,0,100,100,200,10.412,10.412,0.9870671238,0.9870671238,1000,0,0,1000,15,138507
5, ../data/synthetic/2018-05-01_small/net2/net2-10-60.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-10-60, net2, false, sese_25, Merge conflict graph, Group by conflicts, false, true, true,900000,80000,10,4,100,0,100,100,200,42.976,42.976,0.9466209586,0.9466209586,1000,0,0,1000,17,865432
6, ../data/synthetic/2018-05-01_small/net2/net2-60-10.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-60-10, net2, false, sese_25, Merge conflict graph, Group by conflicts, false, true, true,900000,80000,10,4,100,0,100,100,200,57.276,57.276,0.9317980472,0.9317980472,1000,0,0,1000,22,706270
7, ../data/synthetic/2018-05-01_small/net2/net2-60-60.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-60-60, net2, false, sese_25, Merge conflict graph, Group by conflicts, false, true, true,900000,80000,10,4,100,0,100,100,200,280.85,506.582,0.3917269038,0.6627722677,393,18,589,1000,8,1264653
8, ../data/synthetic/2018-05-01_small/net3/net3-10-10.xes.gz, ../data/synthetic/2018-05-01_small/net3/net3.apnml, net3-10-10, net3, false, sese_25, Merge conflict graph, Group by conflicts, false, true, true,900000,80000,10,4,100,0,100,100,200,9.868,9.868,0.9878243488,0.9878243488,1000,0,0,1000,20,188465
9, ../data/synthetic/2018-05-01_small/net3/net3-10-60.xes.gz, ../data/synthetic/2018-05-01_small/net3/net3.apnml, net3-10-60, net3, false, sese_25, Merge conflict graph, Group by conflicts, false, true, true,900000,80000,10,4,100,0,100,100,200,42.703,58.628,0.930123239,0.9491037162,972,28,0,1000,11,1045729
