Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net1, net1-10-10,1,1000,872,128,0,0,-1,-1,-1
net1, net1-10-10,2,48,29,19,0,80,68,2,132
net1, net1-10-10,3,63,0,63,0,36,63,6,125
net1, net1-10-10,4,50,0,50,0,49,58,7,112
net1, net1-10-10,5,33,1,32,0,66,56,5,107
net1, net1-10-10,6,57,2,55,0,41,48,11,93
net1, net1-10-10,7,50,3,47,0,46,41,10,82
net1, net1-10-10,8,16,2,14,0,77,39,2,76
net1, net1-10-10,9,63,26,37,0,28,26,13,53
net1, net1-10-10,10,23,7,16,0,42,24,2,51
net1, net1-10-10,11,12,6,6,0,46,23,1,50
net1, net1-10-10,12,38,29,9,0,14,11,16,23
net1, net1-10-10,13,4,3,1,0,19,10,1,22
net1, net1-10-10,14,9,9,0,0,11,8,4,14
net1, net1-10-10,15,11,11,0,0,0,3,13,6
,,,,,,,,,,
net1, net1-10-60,1,1000,876,124,0,0,-1,-1,-1
net1, net1-10-60,2,102,0,102,0,22,68,11,123
net1, net1-10-60,3,120,22,98,0,4,54,6,110
net1, net1-10-60,4,88,0,88,0,14,51,4,105
net1, net1-10-60,5,102,0,102,0,0,31,22,70
net1, net1-10-60,6,102,1,101,0,0,22,11,57
net1, net1-10-60,7,57,0,57,0,44,20,2,55
net1, net1-10-60,8,100,38,62,0,1,11,10,29
net1, net1-10-60,9,22,8,14,0,41,10,2,21
net1, net1-10-60,10,10,8,2,0,45,9,2,19
net1, net1-10-60,11,30,21,9,0,17,5,5,11
net1, net1-10-60,12,11,10,1,0,15,4,2,8
net1, net1-10-60,13,13,13,0,0,3,2,3,3
net1, net1-10-60,14,3,3,0,0,0,1,5,0
,,,,,,,,,,
net1, net1-60-10,1,1000,383,617,0,0,-1,-1,-1
net1, net1-60-10,2,333,2,331,0,284,68,6,128
net1, net1-60-10,3,313,5,308,0,302,61,6,116
net1, net1-60-10,4,157,7,150,0,453,58,3,113
net1, net1-60-10,5,61,1,60,0,542,57,2,111
net1, net1-60-10,6,384,16,368,0,218,47,12,98
net1, net1-60-10,7,195,7,188,0,391,43,4,90
net1, net1-60-10,8,163,7,156,0,416,40,4,85
net1, net1-60-10,9,335,56,279,0,237,30,15,58
net1, net1-60-10,10,320,87,233,0,196,22,9,44
net1, net1-60-10,11,221,98,123,0,208,18,4,40
net1, net1-60-10,12,55,33,22,0,276,17,1,39
net1, net1-60-10,13,49,14,35,0,249,16,1,38
net1, net1-60-10,14,49,16,33,0,235,15,2,36
net1, net1-60-10,15,46,20,26,0,222,14,1,35
net1, net1-60-10,16,50,25,25,0,198,13,1,32
net1, net1-60-10,17,102,72,30,0,121,10,4,26
net1, net1-60-10,18,43,33,10,0,108,9,2,22
net1, net1-60-10,19,41,36,5,0,77,6,5,16
net1, net1-60-10,20,13,11,2,0,69,5,1,14
net1, net1-60-10,21,10,10,0,0,61,4,1,8
net1, net1-60-10,22,29,27,2,0,32,2,4,3
net1, net1-60-10,23,15,15,0,0,19,2,4,3
net1, net1-60-10,24,10,10,0,0,9,2,4,3
net1, net1-60-10,25,9,9,0,0,0,1,13,0
,,,,,,,,,,
net1, net1-60-60,1,1000,387,613,0,0,-1,-1,-1
net1, net1-60-60,2,594,0,594,0,19,68,6,128
net1, net1-60-60,3,466,6,460,0,147,58,4,119
net1, net1-60-60,4,596,0,596,0,11,48,10,102
net1, net1-60-60,5,344,0,344,0,263,47,2,99
net1, net1-60-60,6,593,0,593,0,14,36,13,77
net1, net1-60-60,7,494,1,493,0,113,34,2,75
net1, net1-60-60,8,573,0,0,573,33,28,7,60
,,,,,,,,,,
net2, net2-10-10,1,1000,873,127,0,0,-1,-1,-1
net2, net2-10-10,2,92,19,73,0,35,76,9,136
net2, net2-10-10,3,62,3,59,0,46,63,10,119
net2, net2-10-10,4,12,0,12,0,93,62,2,117
net2, net2-10-10,5,80,1,79,0,25,48,17,90
net2, net2-10-10,6,19,1,18,0,85,46,2,84
net2, net2-10-10,7,61,9,52,0,42,37,11,68
net2, net2-10-10,8,45,5,40,0,49,31,6,61
net2, net2-10-10,9,12,3,9,0,77,30,1,60
net2, net2-10-10,10,10,3,7,0,76,28,2,53
net2, net2-10-10,11,26,10,16,0,57,24,4,49
net2, net2-10-10,12,22,7,15,0,51,20,4,44
net2, net2-10-10,13,56,50,6,0,10,5,22,14
net2, net2-10-10,14,8,7,1,0,8,3,3,5
net2, net2-10-10,15,9,9,0,0,0,1,10,0
,,,,,,,,,,
net2, net2-10-60,1,1000,879,121,0,0,-1,-1,-1
net2, net2-10-60,2,104,0,104,0,17,76,8,137
net2, net2-10-60,3,101,16,85,0,20,63,6,122
net2, net2-10-60,4,101,0,101,0,4,58,5,114
net2, net2-10-60,5,105,0,105,0,0,40,20,80
net2, net2-10-60,6,102,0,102,0,3,32,9,64
net2, net2-10-60,7,64,0,64,0,41,30,2,62
net2, net2-10-60,8,77,0,77,0,28,27,4,57
net2, net2-10-60,9,65,0,65,0,40,25,2,55
net2, net2-10-60,10,84,2,82,0,21,20,6,46
net2, net2-10-60,11,86,15,71,0,17,13,7,27
net2, net2-10-60,12,65,24,41,0,23,7,7,17
net2, net2-10-60,13,21,13,8,0,43,6,2,15
net2, net2-10-60,14,34,29,5,0,17,4,4,9
net2, net2-10-60,15,14,12,2,0,8,3,2,6
net2, net2-10-60,16,6,5,1,0,4,2,2,3
net2, net2-10-60,17,5,5,0,0,0,1,2,0
,,,,,,,,,,
net2, net2-60-10,1,1000,407,593,0,0,-1,-1,-1
net2, net2-60-10,2,317,4,313,0,276,76,6,139
net2, net2-60-10,3,272,2,270,0,317,69,6,128
net2, net2-60-10,4,174,10,164,0,413,65,4,122
net2, net2-60-10,5,365,13,352,0,212,54,14,108
net2, net2-60-10,6,382,35,347,0,182,40,15,78
net2, net2-60-10,7,102,7,95,0,427,37,4,67
net2, net2-60-10,8,312,56,256,0,210,29,10,52
net2, net2-60-10,9,157,25,132,0,309,26,3,49
net2, net2-60-10,10,98,32,66,0,343,24,2,46
net2, net2-60-10,11,73,27,46,0,336,23,1,45
net2, net2-60-10,12,108,34,74,0,274,21,2,43
net2, net2-60-10,13,61,14,47,0,287,20,2,41
net2, net2-60-10,14,49,15,34,0,285,19,1,40
net2, net2-60-10,15,211,164,47,0,108,10,13,20
net2, net2-60-10,16,72,54,18,0,83,6,4,14
net2, net2-60-10,17,49,44,5,0,52,4,5,9
net2, net2-60-10,18,8,8,0,0,49,3,1,6
net2, net2-60-10,19,29,29,0,0,20,1,4,0
net2, net2-60-10,20,9,9,0,0,11,1,3,0
net2, net2-60-10,21,5,5,0,0,6,1,2,0
net2, net2-60-10,22,6,6,0,0,0,1,8,0
,,,,,,,,,,
net2, net2-60-60,1,1000,383,617,0,0,-1,-1,-1
net2, net2-60-60,2,593,0,593,0,24,76,5,140
net2, net2-60-60,3,524,9,515,0,93,66,6,130
net2, net2-60-60,4,477,0,477,0,131,62,4,122
net2, net2-60-60,5,573,0,573,0,35,57,6,112
net2, net2-60-60,6,590,0,590,0,18,50,9,99
net2, net2-60-60,7,604,1,603,0,4,35,17,75
net2, net2-60-60,8,589,0,0,589,18,30,5,70
,,,,,,,,,,
net3, net3-10-10,1,1000,880,120,0,0,-1,-1,-1
net3, net3-10-10,2,55,0,55,0,65,74,6,138
net3, net3-10-10,3,56,20,36,0,64,67,4,129
net3, net3-10-10,4,15,0,15,0,85,65,2,126
net3, net3-10-10,5,57,3,54,0,43,55,13,103
net3, net3-10-10,6,71,8,63,0,26,43,13,86
net3, net3-10-10,7,26,0,26,0,63,41,2,83
net3, net3-10-10,8,37,3,34,0,52,34,7,65
net3, net3-10-10,9,15,3,12,0,71,33,1,64
net3, net3-10-10,10,16,8,8,0,67,32,1,60
net3, net3-10-10,11,54,14,40,0,21,19,17,38
net3, net3-10-10,12,20,9,11,0,41,17,2,36
net3, net3-10-10,13,8,3,5,0,44,16,1,35
net3, net3-10-10,14,7,5,2,0,42,15,1,34
net3, net3-10-10,15,18,8,10,0,26,12,5,25
net3, net3-10-10,16,6,2,4,0,30,11,1,24
net3, net3-10-10,17,6,5,1,0,28,10,2,20
net3, net3-10-10,18,18,15,3,0,11,5,6,10
net3, net3-10-10,19,7,7,0,0,7,3,2,6
net3, net3-10-10,20,7,7,0,0,0,3,11,6
,,,,,,,,,,
net3, net3-10-60,1,1000,886,114,0,0,-1,-1,-1
net3, net3-10-60,2,114,26,88,0,0,74,11,133
net3, net3-10-60,3,78,0,78,0,10,61,6,122
net3, net3-10-60,4,87,0,87,0,1,53,9,108
net3, net3-10-60,5,83,0,83,0,5,46,7,98
net3, net3-10-60,6,88,0,88,0,0,32,18,72
net3, net3-10-60,7,83,2,81,0,5,26,7,60
net3, net3-10-60,8,42,1,41,0,44,25,2,58
net3, net3-10-60,9,73,11,62,0,12,13,14,26
net3, net3-10-60,10,17,0,17,0,57,12,2,24
net3, net3-10-60,11,68,46,22,0,6,5,11,11
,,,,,,,,,,
net3, net3-60-10,1,1000,410,590,0,0,-1,-1,-1
net3, net3-60-10,2,295,3,292,0,295,74,4,140
net3, net3-60-10,3,78,1,77,0,509,71,2,137
net3, net3-60-10,4,344,19,325,0,242,66,8,125
net3, net3-60-10,5,218,2,216,0,349,62,6,119
net3, net3-60-10,6,230,8,222,0,335,56,8,109
net3, net3-60-10,7,331,16,315,0,226,45,12,87
net3, net3-60-10,8,100,7,93,0,441,43,2,81
net3, net3-60-10,9,171,20,151,0,363,39,4,74
net3, net3-60-10,10,270,51,219,0,244,31,11,53
net3, net3-60-10,11,158,29,129,0,305,29,2,51
net3, net3-60-10,12,81,22,59,0,353,28,1,50
net3, net3-60-10,13,246,98,148,0,166,20,8,40
net3, net3-60-10,14,50,18,32,0,264,19,2,38
net3, net3-60-10,15,47,31,16,0,249,18,1,36
net3, net3-60-10,16,93,55,38,0,172,13,5,25
net3, net3-60-10,17,75,52,23,0,135,8,5,16
net3, net3-60-10,18,79,73,6,0,79,4,4,8
net3, net3-60-10,19,55,53,2,0,30,2,9,3
net3, net3-60-10,20,4,4,0,0,28,2,1,3
net3, net3-60-10,21,18,18,0,0,10,1,6,0
net3, net3-60-10,22,10,10,0,0,0,1,11,0
,,,,,,,,,,
net3, net3-60-60,1,1000,384,616,0,0,-1,-1,-1
net3, net3-60-60,2,597,0,597,0,19,74,7,137
net3, net3-60-60,3,410,14,396,0,206,65,4,130
net3, net3-60-60,4,351,0,351,0,251,63,2,128
net3, net3-60-60,5,574,0,574,0,28,57,7,114
net3, net3-60-60,6,187,0,187,0,415,56,2,112
net3, net3-60-60,7,602,0,602,0,0,41,16,89
net3, net3-60-60,8,487,0,487,0,115,39,2,87
net3, net3-60-60,9,589,0,0,589,13,32,8,70
,,,,,,,,,,
net4, net4-10-10,1,1000,902,98,0,0,-1,-1,-1
net4, net4-10-10,2,50,17,33,0,48,71,4,137
net4, net4-10-10,3,26,0,26,0,55,67,2,133
net4, net4-10-10,4,38,0,38,0,43,64,6,127
net4, net4-10-10,5,36,1,35,0,45,58,8,114
net4, net4-10-10,6,63,11,52,0,17,41,20,86
net4, net4-10-10,7,36,5,31,0,33,32,11,69
net4, net4-10-10,8,57,35,22,0,7,14,24,28
net4, net4-10-10,9,8,5,3,0,21,13,1,27
net4, net4-10-10,10,9,7,2,0,15,11,2,25
net4, net4-10-10,11,6,3,3,0,11,9,2,19
net4, net4-10-10,12,14,14,0,0,0,1,18,0
,,,,,,,,,,
net4, net4-10-60,1,1000,879,121,0,0,-1,-1,-1
net4, net4-10-60,2,97,0,97,0,24,71,7,134
net4, net4-10-60,3,121,24,97,0,0,53,13,111
net4, net4-10-60,4,96,0,96,0,1,43,13,91
net4, net4-10-60,5,74,0,74,0,23,40,4,84
net4, net4-10-60,6,91,0,91,0,6,34,6,77
net4, net4-10-60,7,85,0,85,0,12,30,5,72
net4, net4-10-60,8,75,2,73,0,22,25,5,67
net4, net4-10-60,9,53,1,52,0,42,22,4,56
net4, net4-10-60,10,75,7,68,0,19,15,8,33
net4, net4-10-60,11,73,36,37,0,14,9,7,20
net4, net4-10-60,12,29,17,12,0,22,6,4,13
net4, net4-10-60,13,13,6,7,0,21,5,2,11
net4, net4-10-60,14,22,22,0,0,6,3,5,6
net4, net4-10-60,15,5,5,0,0,1,1,4,0
net4, net4-10-60,16,1,1,0,0,0,1,3,0
,,,,,,,,,,
net4, net4-60-10,1,1000,410,590,0,0,-1,-1,-1
net4, net4-60-10,2,427,14,413,0,163,71,10,131
net4, net4-60-10,3,174,3,171,0,402,62,3,121
net4, net4-60-10,4,253,5,248,0,320,56,9,111
net4, net4-60-10,5,321,18,303,0,247,48,10,99
net4, net4-60-10,6,89,3,86,0,461,46,2,94
net4, net4-60-10,7,76,3,73,0,471,44,2,91
net4, net4-60-10,8,241,20,221,0,303,37,9,77
net4, net4-60-10,9,160,9,151,0,364,35,2,75
net4, net4-60-10,10,116,16,100,0,399,33,2,72
net4, net4-60-10,11,350,101,249,0,149,21,17,39
net4, net4-60-10,12,144,42,102,0,254,18,3,36
net4, net4-60-10,13,174,90,84,0,182,14,5,31
net4, net4-60-10,14,109,52,57,0,157,11,3,25
net4, net4-60-10,15,45,26,19,0,169,10,1,22
net4, net4-60-10,16,127,110,17,0,61,6,8,11
net4, net4-60-10,17,21,9,12,0,57,5,1,10
net4, net4-60-10,18,48,39,9,0,21,3,4,6
net4, net4-60-10,19,5,5,0,0,25,3,1,6
net4, net4-60-10,20,10,10,0,0,15,2,2,3
net4, net4-60-10,21,11,11,0,0,4,1,5,0
net4, net4-60-10,22,4,4,0,0,0,1,5,0
,,,,,,,,,,
net4, net4-60-60,1,1000,412,588,0,0,-1,-1,-1
net4, net4-60-60,2,577,0,577,0,11,71,11,130
net4, net4-60-60,3,468,6,462,0,120,58,4,119
net4, net4-60-60,4,526,0,526,0,56,53,6,110
net4, net4-60-60,5,534,0,534,0,48,49,5,103
