_id,LogPath,ModelPath,Log,Model,Monolithic,Decomposition,RecomposeStrategy,LogCreationStrategy,PreferBorderTransitions,AddConflictOnlyOnce,UseHideAndReduceAbstraction,GlobalDurationThreshold,LocalDurationThreshold,LogMoveCost,ModelMoveCost,RelativeIntervalThreshold,AbsoluteIntervalThreshold,MaxConflictThreshold,AlignmentPercentageThreshold,MaxIterationThreshold,CostIntervalLo,CostIntervalHi,FitnessLo,FitnessHi,Aligned,ToAlign,Rejected,TotalTraces,RecompositionStepsTaken,TotalTimeTaken
0, ../data/synthetic/2018-05-01_small/net1/net1-10-10.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-10-10, net1, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 9.046, 9.046, 0.9886547771339704, 0.9886547771339704, 1000, 0, 0, 1000, 6, 56411
1, ../data/synthetic/2018-05-01_small/net1/net1-10-60.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-10-60, net1, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 39.948, 39.948, 0.950253415189968, 0.950253415189968, 1000, 0, 0, 1000, 4, 271333
2, ../data/synthetic/2018-05-01_small/net1/net1-60-10.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-60-10, net1, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 59.08, 59.08, 0.9264488017429194, 0.9264488017429194, 1000, 0, 0, 1000, 6, 391711
3, ../data/synthetic/2018-05-01_small/net1/net1-60-60.xes.gz, ../data/synthetic/2018-05-01_small/net1/net1.apnml, net1-60-60, net1, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 297.309, 433.128, 0.4559786977491962, 0.6265712922025723, 515, 30, 455, 1000, 4, 963229
4, ../data/synthetic/2018-05-01_small/net2/net2-10-10.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-10-10, net2, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 10.412, 10.412, 0.987067123764098, 0.987067123764098, 1000, 0, 0, 1000, 6, 82631
5, ../data/synthetic/2018-05-01_small/net2/net2-10-60.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-10-60, net2, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 42.976, 42.976, 0.9466209586267715, 0.9466209586267715, 1000, 0, 0, 1000, 3, 290349
6, ../data/synthetic/2018-05-01_small/net2/net2-60-10.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-60-10, net2, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 57.276, 57.276, 0.9317980471540843, 0.9317980471540843, 1000, 0, 0, 1000, 8, 382137
7, ../data/synthetic/2018-05-01_small/net2/net2-60-60.xes.gz, ../data/synthetic/2018-05-01_small/net2/net2.apnml, net2-60-60, net2, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 341.415, 373.034, 0.5520832833025143, 0.5900494704738118, 709, 0, 291, 1000, 4, 895275
8, ../data/synthetic/2018-05-01_small/net3/net3-10-10.xes.gz, ../data/synthetic/2018-05-01_small/net3/net3.apnml, net3-10-10, net3, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 9.868, 9.868, 0.9878243488346268, 0.9878243488346268, 1000, 0, 0, 1000, 6, 85606
9, ../data/synthetic/2018-05-01_small/net3/net3-10-60.xes.gz, ../data/synthetic/2018-05-01_small/net3/net3.apnml, net3-10-60, net3, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 42.974, 42.974, 0.9487807203642344, 0.9487807203642344, 1000, 0, 0, 1000, 4, 375013
10, ../data/synthetic/2018-05-01_small/net3/net3-60-10.xes.gz, ../data/synthetic/2018-05-01_small/net3/net3.apnml, net3-60-10, net3, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 58.018, 58.018, 0.9300558174299871, 0.9300558174299871, 1000, 0, 0, 1000, 7, 349239
11, ../data/synthetic/2018-05-01_small/net3/net3-60-60.xes.gz, ../data/synthetic/2018-05-01_small/net3/net3.apnml, net3-60-60, net3, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 258.4703333333333, 392.778, 0.5244933536718239, 0.6870894974294408, 602, 37, 361, 1000, 4, 1276081
12, ../data/synthetic/2018-05-01_small/net4/net4-10-10.xes.gz, ../data/synthetic/2018-05-01_small/net4/net4.apnml, net4-10-10, net4, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 7.554, 7.554, 0.9909821290006805, 0.9909821290006805, 1000, 0, 0, 1000, 6, 67803
13, ../data/synthetic/2018-05-01_small/net4/net4-10-60.xes.gz, ../data/synthetic/2018-05-01_small/net4/net4.apnml, net4-10-60, net4, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 40.124, 40.124, 0.952121617106582, 0.952121617106582, 1000, 0, 0, 1000, 4, 324006
14, ../data/synthetic/2018-05-01_small/net4/net4-60-10.xes.gz, ../data/synthetic/2018-05-01_small/net4/net4.apnml, net4-60-10, net4, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 58.242, 58.242, 0.9303833327356833, 0.9303833327356833, 1000, 0, 0, 1000, 6, 374873
15, ../data/synthetic/2018-05-01_small/net4/net4-60-60.xes.gz, ../data/synthetic/2018-05-01_small/net4/net4.apnml, net4-60-60, net4, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 336.424, 367.468, 0.5701827028797343, 0.6064940229723723, 723, 0, 277, 1000, 4, 999262
16, ../data/synthetic/2018-05-01_small/net5/net5-10-10.xes.gz, ../data/synthetic/2018-05-01_small/net5/net5.apnml, net5-10-10, net5, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 9.87, 9.87, 0.9884619431163275, 0.9884619431163275, 1000, 0, 0, 1000, 6, 114211
17, ../data/synthetic/2018-05-01_small/net5/net5-10-60.xes.gz, ../data/synthetic/2018-05-01_small/net5/net5.apnml, net5-10-60, net5, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 41.368, 41.368, 0.9511991411954842, 0.9511991411954842, 1000, 0, 0, 1000, 4, 344547
18, ../data/synthetic/2018-05-01_small/net5/net5-60-10.xes.gz, ../data/synthetic/2018-05-01_small/net5/net5.apnml, net5-60-10, net5, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 57.276, 57.276, 0.9311553440069235, 0.9311553440069235, 1000, 0, 0, 1000, 6, 404511
19, ../data/synthetic/2018-05-01_small/net5/net5-60-60.xes.gz, ../data/synthetic/2018-05-01_small/net5/net5.apnml, net5-60-60, net5, false, sese_25, Top ten most frequent conflicts set, Strict exclude by conflicts, false, true, true, 900000, 80000, 10, 4, 100, 0, 100, 100, 200, 348.2793333333334, 388.042, 0.5324513524911139, 0.5803610659276663, 695, 7, 298, 1000, 4, 998183
