Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net1, net1-10-10, 1, 1000, 872, 128, 0, 0, -1, -1, -1
net1, net1-10-10, 2, 39, 31, 8, 0, 89, 68, 50, 84
net1, net1-10-10, 3, 33, 22, 11, 0, 64, 30, 22, 37
net1, net1-10-10, 4, 45, 43, 2, 0, 30, 16, 12, 20
net1, net1-10-10, 5, 24, 24, 0, 0, 8, 6, 15, 11
net1, net1-10-10, 6, 8, 8, 0, 0, 0, 5, 8, 6

net1, net1-10-60, 1, 1000, 876, 124, 0, 0, -1, -1, -1
net1, net1-10-60, 2, 30, 26, 4, 0, 94, 68, 96, 38
net1, net1-10-60, 3, 79, 74, 5, 0, 19, 5, 14, 6
net1, net1-10-60, 4, 24, 24, 0, 0, 0, 3, 13, 1

net1, net1-60-10, 1, 1000, 383, 617, 0, 0, -1, -1, -1
net1, net1-60-10, 2, 34, 25, 9, 0, 583, 68, 41, 93
net1, net1-60-10, 3, 139, 108, 31, 0, 453, 37, 32, 56
net1, net1-60-10, 4, 331, 325, 6, 0, 153, 19, 18, 25
net1, net1-60-10, 5, 113, 113, 0, 0, 46, 7, 11, 9
net1, net1-60-10, 6, 46, 46, 0, 0, 0, 2, 13, 0

net1, net1-60-60, 1, 1000, 387, 613, 0, 0, -1, -1, -1
net1, net1-60-60, 2, 45, 39, 6, 0, 568, 68, 90, 44
net1, net1-60-60, 3, 455, 0, 0, 455, 119, 8, 24, 8
net1, net1-60-60, 4, 89, 89, 0, 0, 30, 2, 9, 2

net2, net2-10-10, 1, 1000, 873, 127, 0, 0, -1, -1, -1
net2, net2-10-10, 2, 33, 25, 8, 0, 94, 76, 53, 92
net2, net2-10-10, 3, 27, 15, 12, 0, 75, 36, 30, 47
net2, net2-10-10, 4, 45, 36, 9, 0, 42, 21, 20, 25
net2, net2-10-10, 5, 33, 33, 0, 0, 18, 10, 13, 13
net2, net2-10-10, 6, 18, 18, 0, 0, 0, 1, 10, 0

net2, net2-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1
net2, net2-10-60, 2, 26, 25, 1, 0, 95, 76, 102, 43
net2, net2-10-60, 3, 96, 96, 0, 0, 0, 2, 19, 0

net2, net2-60-10, 1, 1000, 407, 593, 0, 0, -1, -1, -1
net2, net2-60-10, 2, 32, 21, 11, 0, 561, 76, 41, 104
net2, net2-60-10, 3, 110, 51, 59, 0, 462, 42, 30, 54
net2, net2-60-10, 4, 155, 146, 9, 0, 366, 19, 12, 36
net2, net2-60-10, 5, 125, 123, 2, 0, 250, 10, 13, 22
net2, net2-60-10, 6, 202, 201, 1, 0, 50, 6, 12, 12
net2, net2-60-10, 7, 45, 45, 0, 0, 6, 2, 8, 2
net2, net2-60-10, 8, 6, 6, 0, 0, 0, 1, 2, 0

net2, net2-60-60, 1, 1000, 383, 617, 0, 0, -1, -1, -1
net2, net2-60-60, 2, 50, 48, 2, 0, 567, 76, 107, 38
net2, net2-60-60, 3, 517, 225, 1, 291, 52, 5, 19, 4
net2, net2-60-60, 4, 53, 53, 0, 0, 0, 2, 9, 0

net3, net3-10-10, 1, 1000, 880, 120, 0, 0, -1, -1, -1
net3, net3-10-10, 2, 34, 26, 8, 0, 86, 74, 44, 100
net3, net3-10-10, 3, 25, 18, 7, 0, 69, 38, 32, 57
net3, net3-10-10, 4, 41, 38, 3, 0, 35, 17, 16, 26
net3, net3-10-10, 5, 21, 21, 0, 0, 17, 10, 12, 15
net3, net3-10-10, 6, 17, 17, 0, 0, 0, 4, 5, 8

net3, net3-10-60, 1, 1000, 886, 114, 0, 0, -1, -1, -1
net3, net3-10-60, 2, 42, 40, 2, 0, 72, 74, 107, 37
net3, net3-10-60, 3, 51, 51, 0, 0, 23, 4, 12, 6
net3, net3-10-60, 4, 23, 23, 0, 0, 0, 2, 12, 0

net3, net3-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1
net3, net3-60-10, 2, 28, 20, 8, 0, 562, 74, 35, 109
net3, net3-60-10, 3, 99, 61, 38, 0, 471, 46, 39, 63
net3, net3-60-10, 4, 159, 121, 38, 0, 350, 21, 13, 33
net3, net3-60-10, 5, 209, 207, 2, 0, 179, 11, 10, 18
net3, net3-60-10, 6, 146, 146, 0, 0, 35, 4, 10, 3
net3, net3-60-10, 7, 35, 35, 0, 0, 0, 1, 11, 0

net3, net3-60-60, 1, 1000, 384, 616, 0, 0, -1, -1, -1
net3, net3-60-60, 2, 53, 52, 1, 0, 563, 74, 92, 52
net3, net3-60-60, 3, 361, 0, 0, 361, 203, 12, 22, 19
net3, net3-60-60, 4, 166, 166, 0, 0, 37, 3, 16, 3

net4, net4-10-10, 1, 1000, 902, 98, 0, 0, -1, -1, -1
net4, net4-10-10, 2, 29, 26, 3, 0, 69, 71, 49, 92
net4, net4-10-10, 3, 21, 16, 5, 0, 51, 33, 31, 48
net4, net4-10-10, 4, 30, 29, 1, 0, 26, 16, 15, 26
net4, net4-10-10, 5, 19, 19, 0, 0, 8, 8, 10, 16
net4, net4-10-10, 6, 8, 8, 0, 0, 0, 5, 13, 4

net4, net4-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1
net4, net4-10-60, 2, 37, 30, 7, 0, 84, 71, 101, 40
net4, net4-10-60, 3, 66, 64, 2, 0, 25, 6, 17, 9
net4, net4-10-60, 4, 27, 27, 0, 0, 0, 3, 10, 1

net4, net4-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1
net4, net4-60-10, 2, 41, 32, 9, 0, 549, 71, 53, 88
net4, net4-60-10, 3, 143, 112, 31, 0, 415, 29, 27, 40
net4, net4-60-10, 4, 157, 152, 5, 0, 289, 13, 15, 22
net4, net4-60-10, 5, 226, 226, 0, 0, 68, 5, 11, 7
net4, net4-60-10, 6, 68, 68, 0, 0, 0, 1, 7, 0

net4, net4-60-60, 1, 1000, 412, 588, 0, 0, -1, -1, -1
net4, net4-60-60, 2, 38, 34, 4, 0, 550, 71, 102, 39
net4, net4-60-60, 3, 462, 183, 2, 277, 92, 6, 24, 5
net4, net4-60-60, 4, 94, 94, 0, 0, 0, 2, 6, 0

net5, net5-10-10, 1, 1000, 885, 115, 0, 0, -1, -1, -1
net5, net5-10-10, 2, 34, 24, 10, 0, 81, 71, 60, 78
net5, net5-10-10, 3, 32, 22, 10, 0, 59, 23, 25, 31
net5, net5-10-10, 4, 51, 40, 11, 0, 18, 11, 12, 11
net5, net5-10-10, 5, 27, 27, 0, 0, 2, 5, 9, 4
net5, net5-10-10, 6, 2, 2, 0, 0, 0, 1, 2, 0

net5, net5-10-60, 1, 1000, 878, 122, 0, 0, -1, -1, -1
net5, net5-10-60, 2, 38, 38, 0, 0, 84, 71, 94, 44
net5, net5-10-60, 3, 63, 63, 0, 0, 21, 5, 21, 10
net5, net5-10-60, 4, 21, 21, 0, 0, 0, 1, 9, 0

net5, net5-60-10, 1, 1000, 409, 591, 0, 0, -1, -1, -1
net5, net5-60-10, 2, 48, 32, 16, 0, 543, 71, 51, 87
net5, net5-60-10, 3, 195, 185, 10, 0, 364, 31, 30, 46
net5, net5-60-10, 4, 236, 228, 8, 0, 138, 12, 16, 23
net5, net5-60-10, 5, 124, 124, 0, 0, 22, 3, 11, 2
net5, net5-60-10, 6, 22, 22, 0, 0, 0, 1, 6, 0

net5, net5-60-60, 1, 1000, 377, 623, 0, 0, -1, -1, -1
net5, net5-60-60, 2, 57, 53, 4, 0, 566, 71, 96, 42
net5, net5-60-60, 3, 478, 180, 0, 298, 92, 6, 23, 7
net5, net5-60-60, 4, 85, 85, 0, 0, 7, 2, 9, 1
