Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net1, net1-10-10, 1, 1000, 875, 125, 0, 0, -1, -1, -1
net1, net1-10-10, 2, 27, 26, 1, 0, 98, 68, 20, 114
net1, net1-10-10, 3, 4, 1, 3, 0, 95, 52, 17, 92
net1, net1-10-10, 4, 5, 5, 0, 0, 93, 39, 8, 80
net1, net1-10-10, 5, 11, 8, 3, 0, 82, 35, 11, 66
net1, net1-10-10, 6, 18, 15, 3, 0, 67, 25, 7, 51
net1, net1-10-10, 7, 8, 6, 2, 0, 62, 22, 4, 46
net1, net1-10-10, 8, 16, 16, 0, 0, 48, 19, 6, 40
net1, net1-10-10, 9, 13, 13, 0, 0, 35, 16, 10, 32
net1, net1-10-10, 10, 19, 19, 0, 0, 16, 13, 8, 20
net1, net1-10-10, 11, 7, 7, 0, 0, 9, 8, 5, 17
net1, net1-10-10, 12, 8, 8, 0, 0, 1, 5, 6, 9
net1, net1-10-10, 13, 1, 1, 0, 0, 0, 4, 2, 7

net1, net1-10-60, 1, 1000, 876, 124, 0, 0, -1, -1, -1
net1, net1-10-60, 2, 23, 22, 1, 0, 101, 68, 39, 95
net1, net1-10-60, 3, 3, 0, 3, 0, 99, 34, 33, 46
net1, net1-10-60, 4, 11, 7, 4, 0, 91, 16, 11, 29
net1, net1-10-60, 5, 23, 22, 1, 0, 72, 10, 5, 25
net1, net1-10-60, 6, 17, 17, 0, 0, 56, 8, 13, 18
net1, net1-10-60, 7, 39, 39, 0, 0, 17, 4, 12, 7
net1, net1-10-60, 8, 17, 17, 0, 0, 0, 2, 6, 1

net1, net1-60-10, 1, 1000, 383, 617, 0, 0, -1, -1, -1
net1, net1-60-10, 2, 14, 13, 1, 0, 603, 68, 4, 130
net1, net1-60-10, 3, 7, 5, 2, 0, 597, 63, 15, 115
net1, net1-60-10, 4, 11, 2, 9, 0, 588, 52, 14, 95
net1, net1-60-10, 5, 42, 20, 22, 0, 555, 42, 10, 82
net1, net1-60-10, 6, 24, 17, 7, 0, 553, 34, 3, 70
net1, net1-60-10, 7, 26, 14, 12, 0, 534, 31, 5, 63
net1, net1-60-10, 8, 40, 39, 1, 0, 506, 26, 4, 57
net1, net1-60-10, 9, 55, 47, 8, 0, 452, 23, 10, 49
net1, net1-60-10, 10, 84, 81, 3, 0, 376, 17, 3, 37
net1, net1-60-10, 11, 84, 80, 4, 0, 295, 14, 7, 31
net1, net1-60-10, 12, 117, 114, 3, 0, 182, 11, 7, 22
net1, net1-60-10, 13, 81, 81, 0, 0, 104, 9, 7, 15
net1, net1-60-10, 14, 77, 77, 0, 0, 27, 7, 10, 8
net1, net1-60-10, 15, 15, 15, 0, 0, 12, 3, 7, 5
net1, net1-60-10, 16, 8, 8, 0, 0, 4, 2, 3, 3
net1, net1-60-10, 17, 3, 3, 0, 0, 1, 2, 3, 1
net1, net1-60-10, 18, 1, 1, 0, 0, 0, 1, 1, 0

net1, net1-60-60, 1, 1000, 387, 613, 0, 0, -1, -1, -1
net1, net1-60-60, 2, 17, 16, 1, 0, 596, 68, 31, 103
net1, net1-60-60, 3, 3, 0, 3, 0, 594, 42, 36, 60
net1, net1-60-60, 4, 64, 26, 38, 0, 533, 15, 18, 24
net1, net1-60-60, 5, 146, 129, 17, 0, 425, 8, 3, 17
net1, net1-60-60, 6, 183, 179, 4, 0, 259, 6, 4, 11
net1, net1-60-60, 7, 193, 192, 1, 0, 70, 4, 4, 5

net2, net2-10-10, 1, 1000, 873, 127, 0, 0, -1, -1, -1
net2, net2-10-10, 2, 19, 18, 1, 0, 108, 76, 11, 134
net2, net2-10-10, 3, 4, 1, 3, 0, 105, 65, 21, 107
net2, net2-10-10, 4, 5, 3, 2, 0, 103, 50, 5, 89
net2, net2-10-10, 5, 5, 3, 2, 0, 100, 45, 13, 74
net2, net2-10-10, 6, 7, 3, 4, 0, 95, 34, 6, 66
net2, net2-10-10, 7, 8, 6, 2, 0, 91, 32, 7, 53
net2, net2-10-10, 8, 12, 7, 5, 0, 81, 27, 14, 39
net2, net2-10-10, 9, 20, 20, 0, 0, 66, 20, 5, 31
net2, net2-10-10, 10, 14, 12, 2, 0, 52, 17, 6, 24
net2, net2-10-10, 11, 16, 15, 1, 0, 38, 13, 4, 20
net2, net2-10-10, 12, 18, 15, 3, 0, 21, 9, 4, 13
net2, net2-10-10, 13, 8, 8, 0, 0, 16, 6, 3, 10
net2, net2-10-10, 14, 15, 15, 0, 0, 1, 3, 9, 2
net2, net2-10-10, 15, 1, 1, 0, 0, 0, 1, 1, 0

net2, net2-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1
net2, net2-10-60, 2, 17, 16, 1, 0, 104, 76, 33, 112
net2, net2-10-60, 3, 3, 0, 3, 0, 102, 49, 56, 52
net2, net2-10-60, 4, 31, 12, 19, 0, 74, 12, 18, 12
net2, net2-10-60, 5, 47, 44, 3, 0, 46, 5, 3, 5
net2, net2-10-60, 6, 18, 18, 0, 0, 31, 3, 7, 2
net2, net2-10-60, 7, 31, 31, 0, 0, 0, 1, 2, 0

net2, net2-60-10, 1, 1000, 407, 593, 0, 0, -1, -1, -1
net2, net2-60-10, 2, 12, 12, 0, 0, 581, 76, 4, 141
net2, net2-60-10, 3, 3, 2, 1, 0, 578, 72, 13, 127
