Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net1, net1-10-10, 1, 1000, 872, 128, 0, 0, -1, -1, -1
net1, net1-10-10, 2, 33, 29, 4, 0, 95, 68, 36, 98
net1, net1-10-10, 3, 23, 18, 5, 0, 76, 39, 25, 55
net1, net1-10-10, 4, 23, 12, 11, 0, 58, 24, 13, 38
net1, net1-10-10, 5, 23, 23, 0, 0, 46, 15, 6, 28
net1, net1-10-10, 6, 34, 34, 0, 0, 12, 11, 10, 19
net1, net1-10-10, 7, 12, 12, 0, 0, 0, 5, 7, 10

net1, net1-10-60, 1, 1000, 876, 124, 0, 0, -1, -1, -1
net1, net1-10-60, 2, 25, 22, 3, 0, 99, 68, 54, 80
net1, net1-10-60, 3, 10, 3, 7, 0, 92, 21, 32, 33
net1, net1-10-60, 4, 73, 69, 4, 0, 26, 5, 16, 8
net1, net1-10-60, 5, 28, 28, 0, 0, 2, 4, 10, 3
net1, net1-10-60, 6, 2, 2, 0, 0, 0, 2, 3, 1

net1, net1-60-10, 1, 1000, 383, 617, 0, 0, -1, -1, -1
net1, net1-60-10, 2, 18, 15, 3, 0, 599, 68, 12, 122
net1, net1-60-10, 3, 41, 29, 12, 0, 561, 55, 38, 83
net1, net1-60-10, 4, 91, 75, 16, 0, 482, 28, 7, 58
net1, net1-60-10, 5, 95, 85, 10, 0, 403, 23, 7, 49
net1, net1-60-10, 6, 96, 92, 4, 0, 317, 18, 14, 33
net1, net1-60-10, 7, 103, 103, 0, 0, 218, 10, 11, 21
net1, net1-60-10, 8, 189, 188, 1, 0, 29, 4, 9, 6
net1, net1-60-10, 9, 24, 24, 0, 0, 6, 3, 11, 2
net1, net1-60-10, 10, 6, 6, 0, 0, 0, 1, 7, 0

net1, net1-60-60, 1, 1000, 387, 613, 0, 0, -1, -1, -1
net1, net1-60-60, 2, 20, 17, 3, 0, 593, 68, 61, 73
net1, net1-60-60, 3, 154, 153, 1, 0, 442, 17, 33, 27
net1, net1-60-60, 4, 228, 221, 7, 0, 215, 6, 15, 9
net1, net1-60-60, 5, 222, 188, 0, 34, 0, 2, 9, 0

net2, net2-10-10, 1, 1000, 873, 127, 0, 0, -1, -1, -1
net2, net2-10-10, 2, 21, 18, 3, 0, 106, 76, 19, 126
net2, net2-10-10, 3, 8, 5, 3, 0, 101, 59, 23, 93
net2, net2-10-10, 4, 9, 4, 5, 0, 95, 42, 14, 69
net2, net2-10-10, 5, 21, 18, 3, 0, 79, 30, 23, 46
net2, net2-10-10, 6, 23, 18, 5, 0, 59, 14, 7, 32
net2, net2-10-10, 7, 33, 31, 2, 0, 31, 10, 9, 16
net2, net2-10-10, 8, 15, 14, 1, 0, 18, 6, 8, 9
net2, net2-10-10, 9, 17, 17, 0, 0, 2, 3, 7, 3
net2, net2-10-10, 10, 2, 2, 0, 0, 0, 1, 3, 0

net2, net2-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1
net2, net2-10-60, 2, 19, 16, 3, 0, 102, 76, 67, 78
net2, net2-10-60, 3, 11, 3, 8, 0, 94, 22, 35, 22
net2, net2-10-60, 4, 74, 70, 4, 0, 28, 5, 14, 3
net2, net2-10-60, 5, 32, 32, 0, 0, 0, 2, 4, 0

net2, net2-60-10, 1, 1000, 407, 593, 0, 0, -1, -1, -1
net2, net2-60-10, 2, 17, 15, 2, 0, 576, 76, 16, 129
net2, net2-60-10, 3, 13, 5, 8, 0, 565, 63, 27, 98
net2, net2-60-10, 4, 54, 23, 31, 0, 519, 41, 13, 75
net2, net2-60-10, 5, 51, 36, 15, 0, 499, 32, 6, 64
net2, net2-60-10, 6, 72, 58, 14, 0, 442, 26, 5, 53
net2, net2-60-10, 7, 80, 76, 4, 0, 376, 22, 9, 45
net2, net2-60-10, 8, 109, 107, 2, 0, 271, 16, 7, 38
net2, net2-60-10, 9, 60, 53, 7, 0, 213, 13, 13, 26
net2, net2-60-10, 10, 148, 148, 0, 0, 72, 5, 8, 7
net2, net2-60-10, 11, 60, 60, 0, 0, 12, 3, 9, 2
net2, net2-60-10, 12, 12, 12, 0, 0, 0, 1, 6, 0

net2, net2-60-60, 1, 1000, 383, 617, 0, 0, -1, -1, -1
net2, net2-60-60, 2, 12, 9, 3, 0, 605, 76, 71, 74
net2, net2-60-60, 3, 56, 24, 32, 0, 552, 21, 32, 31
net2, net2-60-60, 4, 314, 0, 0, 314, 270, 5, 5, 6
net2, net2-60-60, 5, 195, 178, 0, 17, 75, 3, 14, 2

net3, net3-10-10, 1, 1000, 880, 120, 0, 0, -1, -1, -1
net3, net3-10-10, 2, 24, 21, 3, 0, 96, 74, 28, 116
net3, net3-10-10, 3, 13, 7, 6, 0, 86, 47, 25, 76
net3, net3-10-10, 4, 20, 15, 5, 0, 72, 35, 17, 49
net3, net3-10-10, 5, 20, 15, 5, 0, 57, 23, 9, 40
net3, net3-10-10, 6, 18, 16, 2, 0, 44, 17, 13, 26
net3, net3-10-10, 7, 15, 13, 2, 0, 31, 8, 11, 14
net3, net3-10-10, 8, 24, 24, 0, 0, 9, 5, 4, 9
net3, net3-10-10, 9, 9, 9, 0, 0, 0, 3, 4, 6

net3, net3-10-60, 1, 1000, 886, 114, 0, 0, -1, -1, -1
net3, net3-10-60, 2, 29, 26, 3, 0, 85, 74, 86, 58
net3, net3-10-60, 3, 23, 11, 12, 0, 65, 13, 21, 17
net3, net3-10-60, 4, 65, 65, 0, 0, 12, 5, 12, 5
net3, net3-10-60, 5, 12, 12, 0, 0, 0, 2, 6, 2

net3, net3-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1
net3, net3-60-10, 2, 18, 16, 2, 0, 572, 74, 16, 128
net3, net3-60-10, 3, 23, 13, 10, 0, 551, 59, 25, 100
net3, net3-60-10, 4, 48, 26, 22, 0, 513, 41, 23, 72
net3, net3-60-10, 5, 92, 62, 30, 0, 443, 24, 6, 45
net3, net3-60-10, 6, 91, 82, 9, 0, 382, 19, 7, 35
net3, net3-60-10, 7, 137, 131, 6, 0, 254, 14, 6, 26
net3, net3-60-10, 8, 72, 68, 4, 0, 188, 12, 9, 18
net3, net3-60-10, 9, 100, 100, 0, 0, 92, 7, 11, 9
net3, net3-60-10, 10, 72, 72, 0, 0, 20, 3, 11, 3
net3, net3-60-10, 11, 20, 20, 0, 0, 0, 2, 7, 0

net3, net3-60-60, 1, 1000, 384, 616, 0, 0, -1, -1, -1
net3, net3-60-60, 2, 17, 14, 3, 0, 599, 74, 64, 80
net3, net3-60-60, 3, 55, 51, 4, 0, 547, 27, 35, 28
net3, net3-60-60, 4, 239, 232, 7, 0, 312, 9, 14, 11
net3, net3-60-60, 5, 194, 194, 0, 0, 125, 4, 5, 3

net4, net4-10-10, 1, 1000, 902, 98, 0, 0, -1, -1, -1
net4, net4-10-10, 2, 21, 18, 3, 0, 77, 71, 24, 117
net4, net4-10-10, 3, 10, 6, 4, 0, 70, 49, 26, 88
net4, net4-10-10, 4, 10, 3, 7, 0, 64, 29, 15, 59
net4, net4-10-10, 5, 22, 19, 3, 0, 49, 19, 12, 40
net4, net4-10-10, 6, 23, 21, 2, 0, 29, 13, 8, 29
net4, net4-10-10, 7, 13, 13, 0, 0, 18, 8, 9, 21
net4, net4-10-10, 8, 16, 16, 0, 0, 2, 4, 13, 5
net4, net4-10-10, 9, 2, 2, 0, 0, 0, 2, 3, 1

net4, net4-10-60, 1, 1000, 879, 121, 0, 0, -1, -1, -1
net4, net4-10-60, 2, 27, 24, 3, 0, 94, 71, 61, 80
net4, net4-10-60, 3, 15, 11, 4, 0, 82, 25, 37, 31
net4, net4-10-60, 4, 59, 59, 0, 0, 27, 6, 11, 11
net4, net4-10-60, 5, 22, 22, 0, 0, 5, 3, 12, 5
net4, net4-10-60, 6, 5, 5, 0, 0, 0, 2, 11, 1

net4, net4-60-10, 1, 1000, 410, 590, 0, 0, -1, -1, -1
net4, net4-60-10, 2, 19, 16, 3, 0, 571, 71, 34, 107
net4, net4-60-10, 3, 75, 52, 23, 0, 499, 44, 33, 59
net4, net4-60-10, 4, 72, 47, 25, 0, 450, 29, 7, 41
net4, net4-60-10, 5, 78, 63, 15, 0, 397, 24, 5, 35
net4, net4-60-10, 6, 146, 141, 5, 0, 266, 19, 8, 23
net4, net4-60-10, 7, 111, 101, 10, 0, 160, 12, 9, 15
net4, net4-60-10, 8, 102, 101, 1, 0, 68, 6, 8, 9
net4, net4-60-10, 9, 63, 63, 0, 0, 6, 3, 8, 2
net4, net4-60-10, 10, 6, 6, 0, 0, 0, 1, 2, 0

net4, net4-60-60, 1, 1000, 412, 588, 0, 0, -1, -1, -1
net4, net4-60-60, 2, 13, 10, 3, 0, 575, 71, 67, 74
net4, net4-60-60, 3, 109, 98, 11, 0, 469, 21, 35, 20
net4, net4-60-60, 4, 369, 186, 0, 183, 111, 4, 12, 4
net4, net4-60-60, 5, 111, 111, 0, 0, 0, 1, 7, 0

net5, net5-10-10, 1, 1000, 885, 115, 0, 0, -1, -1, -1
net5, net5-10-10, 2, 23, 21, 2, 0, 92, 71, 27, 111
net5, net5-10-10, 3, 7, 1, 6, 0, 87, 47, 21, 75
net5, net5-10-10, 4, 28, 21, 7, 0, 65, 30, 24, 45
net5, net5-10-10, 5, 22, 22, 0, 0, 50, 15, 10, 26
net5, net5-10-10, 6, 22, 22, 0, 0, 28, 8, 9, 15
net5, net5-10-10, 7, 16, 16, 0, 0, 12, 4, 10, 10
net5, net5-10-10, 8, 11, 11, 0, 0, 1, 2, 8, 1
net5, net5-10-10, 9, 1, 1, 0, 0, 0, 1, 1, 0

net5, net5-10-60, 1, 1000, 878, 122, 0, 0, -1, -1, -1
net5, net5-10-60, 2, 24, 21, 3, 0, 98, 71, 68, 70
net5, net5-10-60, 3, 28, 27, 1, 0, 73, 19, 28, 25
net5, net5-10-60, 4, 57, 57, 0, 0, 17, 6, 13, 12
net5, net5-10-60, 5, 15, 15, 0, 0, 2, 2, 8, 2
net5, net5-10-60, 6, 2, 2, 0, 0, 0, 1, 5, 0

net5, net5-60-10, 1, 1000, 409, 591, 0, 0, -1, -1, -1
net5, net5-60-10, 2, 22, 10, 12, 0, 569, 71, 31, 107
net5, net5-60-10, 3, 62, 38, 24, 0, 519, 45, 25, 73
net5, net5-60-10, 4, 77, 71, 6, 0, 466, 26, 6, 53
net5, net5-60-10, 5, 99, 77, 22, 0, 373, 20, 7, 42
net5, net5-60-10, 6, 67, 56, 11, 0, 328, 16, 5, 36
net5, net5-60-10, 7, 89, 88, 1, 0, 250, 12, 9, 28
net5, net5-60-10, 8, 155, 155, 0, 0, 96, 7, 13, 14
net5, net5-60-10, 9, 81, 81, 0, 0, 15, 3, 5, 3
net5, net5-60-10, 10, 15, 15, 0, 0, 0, 1, 4, 0

net5, net5-60-60, 1, 1000, 377, 623, 0, 0, -1, -1, -1
net5, net5-60-60, 2, 8, 5, 3, 0, 615, 71, 59, 79
net5, net5-60-60, 3, 39, 3, 36, 0, 579, 21, 27, 29
net5, net5-60-60, 4, 162, 150, 12, 0, 453, 8, 4, 17
net5, net5-60-60, 5, 294, 0, 0, 294, 171, 6, 17, 8
net5, net5-60-60, 6, 164, 164, 0, 0, 7, 3, 8, 1
