Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
BPIC18, BPIC18-entitlement-payment-inspection-500, 1, 490, 1, 489, 0, 0, -1, -1, -1
BPIC18, BPIC18-entitlement-payment-inspection-500, 2, 37, 0, 37, 0, 452, 49, 1, 62
BPIC18, BPIC18-entitlement-payment-inspection-500, 3, 37, 0, 37, 0, 452, 48, 1, 61
BPIC18, BPIC18-entitlement-payment-inspection-500, 4, 37, 0, 37, 0, 452, 47, 1, 60
BPIC18, BPIC18-entitlement-payment-inspection-500, 5, 37, 0, 37, 0, 452, 46, 1, 59
BPIC18, BPIC18-entitlement-payment-inspection-500, 6, 37, 0, 37, 0, 452, 45, 1, 58
BPIC18, BPIC18-entitlement-payment-inspection-500, 7, 33, 0, 33, 0, 456, 44, 2, 56
BPIC18, BPIC18-entitlement-payment-inspection-500, 8, 37, 0, 37, 0, 452, 42, 1, 54
BPIC18, BPIC18-entitlement-payment-inspection-500, 9, 37, 0, 37, 0, 452, 41, 1, 53
BPIC18, BPIC18-entitlement-payment-inspection-500, 10, 19, 0, 19, 0, 470, 40, 1, 52
BPIC18, BPIC18-entitlement-payment-inspection-500, 11, 37, 0, 37, 0, 452, 39, 2, 50
BPIC18, BPIC18-entitlement-payment-inspection-500, 12, 37, 0, 37, 0, 452, 37, 1, 48
BPIC18, BPIC18-entitlement-payment-inspection-500, 13, 31, 0, 31, 0, 458, 36, 1, 47
BPIC18, BPIC18-entitlement-payment-inspection-500, 14, 30, 0, 30, 0, 459, 35, 2, 44
BPIC18, BPIC18-entitlement-payment-inspection-500, 15, 36, 0, 36, 0, 453, 33, 2, 42
BPIC18, BPIC18-entitlement-payment-inspection-500, 16, 186, 0, 186, 0, 303, 31, 5, 37
BPIC18, BPIC18-entitlement-payment-inspection-500, 17, 153, 0, 153, 0, 336, 27, 1, 34
BPIC18, BPIC18-entitlement-payment-inspection-500, 18, 34, 14, 20, 0, 455, 26, 2, 32
BPIC18, BPIC18-entitlement-payment-inspection-500, 19, 52, 0, 52, 0, 423, 24, 1, 31
BPIC18, BPIC18-entitlement-payment-inspection-500, 20, 71, 36, 35, 0, 404, 24, 7, 24
BPIC18, BPIC18-entitlement-payment-inspection-500, 21, 294, 230, 64, 0, 145, 18, 2, 21
BPIC18, BPIC18-entitlement-payment-inspection-500, 22, 64, 0, 64, 0, 145, 16, 1, 20
BPIC18, BPIC18-entitlement-payment-inspection-500, 23, 64, 0, 64, 0, 145, 15, 1, 19
BPIC18, BPIC18-entitlement-payment-inspection-500, 24, 74, 0, 74, 0, 135, 14, 1, 18
BPIC18, BPIC18-entitlement-payment-inspection-500, 25, 64, 0, 64, 0, 145, 13, 1, 17
BPIC18, BPIC18-entitlement-payment-inspection-500, 26, 91, 83, 8, 0, 118, 12, 3, 14
BPIC18, BPIC18-entitlement-payment-inspection-500, 27, 68, 68, 0, 0, 58, 10, 2, 12
BPIC18, BPIC18-entitlement-payment-inspection-500, 28, 48, 0, 48, 0, 10, 9, 1, 11
BPIC18, BPIC18-entitlement-payment-inspection-500, 29, 47, 47, 0, 0, 11, 8, 1, 10
BPIC18, BPIC18-entitlement-payment-inspection-500, 30, 8, 8, 0, 0, 3, 7, 4, 6
BPIC18, BPIC18-entitlement-payment-inspection-500, 31, 3, 3, 0, 0, 0, 4, 1, 4
