Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
BPIC18, BPIC18-entitlement-payment-inspection-500, 1, 490, 1, 489, 0, 0, -1, -1, -1
BPIC18, BPIC18-entitlement-payment-inspection-500, 2, 478, 0, 478, 0, 11, 49, 1, 62
BPIC18, BPIC18-entitlement-payment-inspection-500, 3, 434, 0, 434, 0, 55, 48, 1, 61
BPIC18, BPIC18-entitlement-payment-inspection-500, 4, 428, 0, 428, 0, 61, 47, 1, 60
BPIC18, BPIC18-entitlement-payment-inspection-500, 5, 348, 0, 348, 0, 141, 46, 1, 59
BPIC18, BPIC18-entitlement-payment-inspection-500, 6, 404, 0, 404, 0, 85, 45, 1, 58
BPIC18, BPIC18-entitlement-payment-inspection-500, 7, 355, 0, 355, 0, 134, 44, 1, 57
BPIC18, BPIC18-entitlement-payment-inspection-500, 8, 401, 0, 401, 0, 88, 43, 1, 56
BPIC18, BPIC18-entitlement-payment-inspection-500, 9, 480, 0, 480, 0, 9, 42, 4, 52
BPIC18, BPIC18-entitlement-payment-inspection-500, 10, 475, 0, 475, 0, 14, 38, 3, 47
BPIC18, BPIC18-entitlement-payment-inspection-500, 11, 409, 0, 409, 0, 80, 35, 3, 43
BPIC18, BPIC18-entitlement-payment-inspection-500, 12, 482, 0, 482, 0, 7, 32, 3, 40
BPIC18, BPIC18-entitlement-payment-inspection-500, 13, 483, 122, 361, 0, 6, 29, 3, 37
BPIC18, BPIC18-entitlement-payment-inspection-500, 14, 312, 53, 259, 0, 55, 26, 3, 32
BPIC18, BPIC18-entitlement-payment-inspection-500, 15, 140, 64, 76, 0, 174, 24, 1, 31
BPIC18, BPIC18-entitlement-payment-inspection-500, 16, 175, 4, 171, 0, 75, 23, 3, 27
BPIC18, BPIC18-entitlement-payment-inspection-500, 17, 80, 0, 80, 0, 166, 20, 1, 25
BPIC18, BPIC18-entitlement-payment-inspection-500, 18, 88, 0, 88, 0, 158, 19, 1, 24
BPIC18, BPIC18-entitlement-payment-inspection-500, 19, 189, 0, 189, 0, 57, 18, 1, 23
BPIC18, BPIC18-entitlement-payment-inspection-500, 20, 83, 0, 83, 0, 163, 17, 1, 22
BPIC18, BPIC18-entitlement-payment-inspection-500, 21, 193, 0, 193, 0, 53, 16, 1, 21
BPIC18, BPIC18-entitlement-payment-inspection-500, 22, 88, 0, 88, 0, 158, 15, 1, 20
BPIC18, BPIC18-entitlement-payment-inspection-500, 23, 200, 0, 0, 200, 46, 14, 3, 17
BPIC18, BPIC18-entitlement-payment-inspection-500, 24, 33, 0, 33, 0, 13, 12, 1, 16
BPIC18, BPIC18-entitlement-payment-inspection-500, 25, 5, 5, 0, 0, 41, 11, 2, 14
BPIC18, BPIC18-entitlement-payment-inspection-500, 26, 6, 6, 0, 0, 35, 10, 2, 12
BPIC18, BPIC18-entitlement-payment-inspection-500, 27, 33, 32, 1, 0, 2, 8, 1, 10
BPIC18, BPIC18-entitlement-payment-inspection-500, 28, 3, 3, 0, 0, 0, 7, 1, 9
