Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
BPIC18, BPIC18-entitlement-payment-inspection-500, 1, 490, 1, 489, 0, 0, -1, -1, -1
BPIC18, BPIC18-entitlement-payment-inspection-500, 2, 489, 0, 489, 0, 0, 49, 1, 62
BPIC18, BPIC18-entitlement-payment-inspection-500, 3, 489, 0, 489, 0, 0, 48, 1, 61
BPIC18, BPIC18-entitlement-payment-inspection-500, 4, 489, 0, 489, 0, 0, 47, 1, 60
BPIC18, BPIC18-entitlement-payment-inspection-500, 5, 489, 0, 489, 0, 0, 46, 1, 59
BPIC18, BPIC18-entitlement-payment-inspection-500, 6, 489, 0, 489, 0, 0, 45, 1, 58
BPIC18, BPIC18-entitlement-payment-inspection-500, 7, 489, 0, 489, 0, 0, 44, 1, 57
BPIC18, BPIC18-entitlement-payment-inspection-500, 8, 489, 0, 489, 0, 0, 43, 1, 56
BPIC18, BPIC18-entitlement-payment-inspection-500, 9, 489, 0, 489, 0, 0, 42, 4, 52
BPIC18, BPIC18-entitlement-payment-inspection-500, 10, 489, 0, 489, 0, 0, 38, 3, 47
BPIC18, BPIC18-entitlement-payment-inspection-500, 11, 489, 0, 489, 0, 0, 35, 3, 43
BPIC18, BPIC18-entitlement-payment-inspection-500, 12, 489, 0, 489, 0, 0, 32, 3, 40
BPIC18, BPIC18-entitlement-payment-inspection-500, 13, 489, 122, 367, 0, 0, 29, 3, 37
BPIC18, BPIC18-entitlement-payment-inspection-500, 14, 367, 53, 314, 0, 0, 26, 3, 32
BPIC18, BPIC18-entitlement-payment-inspection-500, 15, 314, 64, 250, 0, 0, 24, 1, 31
BPIC18, BPIC18-entitlement-payment-inspection-500, 16, 250, 4, 246, 0, 0, 23, 3, 27
BPIC18, BPIC18-entitlement-payment-inspection-500, 17, 246, 0, 246, 0, 0, 20, 1, 25
BPIC18, BPIC18-entitlement-payment-inspection-500, 18, 246, 0, 0, 246, 0, 19, 1, 24
