Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
BPIC18, BPIC18-entitlement-payment-inspection-500, 1, 490, 1, 489, 0, 0, -1, -1, -1
BPIC18, BPIC18-entitlement-payment-inspection-500, 2, 488, 0, 488, 0, 1, 49, 4, 59
BPIC18, BPIC18-entitlement-payment-inspection-500, 3, 471, 0, 471, 0, 18, 43, 2, 55
BPIC18, BPIC18-entitlement-payment-inspection-500, 4, 478, 0, 478, 0, 11, 39, 4, 51
BPIC18, BPIC18-entitlement-payment-inspection-500, 5, 471, 0, 471, 0, 18, 37, 2, 49
BPIC18, BPIC18-entitlement-payment-inspection-500, 6, 479, 0, 479, 0, 10, 35, 2, 47
BPIC18, BPIC18-entitlement-payment-inspection-500, 7, 369, 0, 369, 0, 120, 32, 3, 41
BPIC18, BPIC18-entitlement-payment-inspection-500, 8, 486, 16, 470, 0, 3, 25, 7, 32
BPIC18, BPIC18-entitlement-payment-inspection-500, 9, 400, 0, 400, 0, 73, 23, 2, 29
BPIC18, BPIC18-entitlement-payment-inspection-500, 10, 354, 0, 354, 0, 119, 22, 1, 28
BPIC18, BPIC18-entitlement-payment-inspection-500, 11, 400, 0, 400, 0, 73, 21, 1, 27
BPIC18, BPIC18-entitlement-payment-inspection-500, 12, 402, 0, 402, 0, 71, 20, 1, 26
BPIC18, BPIC18-entitlement-payment-inspection-500, 13, 402, 228, 174, 0, 71, 19, 1, 25
BPIC18, BPIC18-entitlement-payment-inspection-500, 14, 210, 95, 115, 0, 35, 12, 7, 16
BPIC18, BPIC18-entitlement-payment-inspection-500, 15, 94, 0, 94, 0, 56, 11, 1, 15
BPIC18, BPIC18-entitlement-payment-inspection-500, 16, 101, 90, 11, 0, 49, 10, 1, 14
BPIC18, BPIC18-entitlement-payment-inspection-500, 17, 48, 0, 48, 0, 12, 9, 1, 13
BPIC18, BPIC18-entitlement-payment-inspection-500, 18, 48, 47, 1, 0, 12, 8, 1, 12
BPIC18, BPIC18-entitlement-payment-inspection-500, 19, 13, 13, 0, 0, 0, 4, 6, 6
