Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
BPIC18, BPIC18-entitlement-payment-inspection-500, 1, 490, 1, 489, 0, 0, -1, -1, -1
BPIC18, BPIC18-entitlement-payment-inspection-500, 2, 72, 0, 72, 0, 417, 49, 4, 59
BPIC18, BPIC18-entitlement-payment-inspection-500, 3, 77, 0, 77, 0, 412, 45, 3, 55
BPIC18, BPIC18-entitlement-payment-inspection-500, 4, 117, 0, 117, 0, 372, 42, 5, 49
BPIC18, BPIC18-entitlement-payment-inspection-500, 5, 161, 0, 161, 0, 328, 37, 7, 42
BPIC18, BPIC18-entitlement-payment-inspection-500, 6, 187, 14, 173, 0, 302, 32, 5, 36
BPIC18, BPIC18-entitlement-payment-inspection-500, 7, 267, 32, 235, 0, 208, 28, 8, 28
BPIC18, BPIC18-entitlement-payment-inspection-500, 8, 263, 5, 258, 0, 180, 22, 3, 24
BPIC18, BPIC18-entitlement-payment-inspection-500, 9, 318, 10, 308, 0, 120, 19, 3, 21
BPIC18, BPIC18-entitlement-payment-inspection-500, 10, 347, 5, 342, 0, 81, 16, 6, 15
BPIC18, BPIC18-entitlement-payment-inspection-500, 11, 416, 0, 0, 416, 7, 11, 3, 11
BPIC18, BPIC18-entitlement-payment-inspection-500, 12, 5, 5, 0, 0, 2, 8, 4, 8
BPIC18, BPIC18-entitlement-payment-inspection-500, 13, 2, 2, 0, 0, 0, 6, 1, 7
